rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Basal,Aqp3,82.93797,3.4938521,0.0,0.0,25.900724,5.1326404,0.9818605,0.5316409,2.3352194,0.90707016,6009,0.4242745181105698
2,Basal,Eef1a1,81.70222,0.98631924,0.0,0.0,91.558525,48.77741,1.0,0.99963206,0.9084811,0.9010049,6009,0.4242745181105698
3,Basal,Rplp1,81.67474,1.3274573,0.0,0.0,31.175138,13.285602,0.9998336,0.98736817,1.2305324,0.90087,6009,0.4242745181105698
4,Basal,Rpl23,81.02507,1.3654214,0.0,0.0,39.122963,16.866533,0.99966717,0.9879814,1.2138523,0.8976815,6009,0.4242745181105698
5,Basal,Rps14,80.7375,1.4716505,0.0,0.0,22.404865,9.000403,0.9976702,0.9627177,1.3157505,0.8962699,6009,0.4242745181105698
6,Basal,Gm15427,80.298805,1.762711,0.0,0.0,20.76613,7.2911897,0.9970045,0.9185676,1.5100063,0.8941169,6009,0.4242745181105698
7,Basal,Tpt1,78.427185,1.0614058,0.0,0.0,48.58183,23.976313,1.0,0.99730194,1.018807,0.8849306,6009,0.4242745181105698
8,Basal,Tmsb4x,77.843544,1.6015837,0.0,0.0,38.409073,15.575831,0.99966717,0.94628406,1.302138,0.88206595,6009,0.4242745181105698
9,Basal,Rps24,77.37791,1.6167885,0.0,0.0,25.509533,10.417517,0.9988351,0.9455482,1.2920251,0.87978053,6009,0.4242745181105698
10,Basal,Rps19,77.08805,1.7578964,0.0,0.0,18.193027,6.822703,0.9958396,0.8994359,1.4149704,0.878358,6009,0.4242745181105698
