rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Brush,Trpm5,14.758246,10.863819,2.7226675956833442e-49,7.320708631273376e-45,13.591759,0.011306315,1.0,0.006032647,10.231387,0.99994266,73,0.005154275224175669
2,Brush,Lrmp,14.553574,11.65594,5.543033211259552e-48,7.452053849217342e-44,37.330406,0.024621062,0.98630136,0.007877927,10.566242,0.9930092,73,0.005154275224175669
3,Brush,Plac8,14.473759,6.7904296,1.7750096165072584e-47,1.4852863448765895e-43,30.843027,0.57201576,0.98630136,0.15493257,5.7527456,0.9903055,73,0.005154275224175669
4,Brush,Hepacam2,14.458692,8.269088,2.2095899209708264e-47,1.4852863448765895e-43,9.610334,0.07742084,0.98630136,0.017601136,6.955721,0.989795,73,0.005154275224175669
5,Brush,Avil,14.344595,10.077812,1.1517096180067366e-46,6.193433641793027e-43,14.4012,0.021842578,0.9726027,0.01007807,9.36483,0.98592997,73,0.005154275224175669
6,Brush,Anxa4,14.062819,4.546056,6.427404236255158e-45,2.880334085073811e-41,15.793504,1.0000603,0.9726027,0.37068844,3.9811723,0.9763847,73,0.005154275224175669
7,Brush,Gsto1,-13.477082,-4.198244,2.133795611164959e-41,8.196213770429061e-38,6.297517,70.4772,0.6712329,0.99375445,-3.4843018,0.043457422,73,0.005154275224175669
8,Brush,Calm2,13.184946,3.2021616,1.0713109995618149e-39,3.6006762695272595e-36,20.025932,3.226833,0.98630136,0.64158976,2.6336784,0.9466468,73,0.005154275224175669
9,Brush,Plk2,13.108762,5.3042917,2.9334875305162838e-39,8.763956968946871e-36,8.137424,0.30813876,0.91780823,0.12420156,4.72292,0.94406605,73,0.005154275224175669
10,Brush,Rgs2,13.030411,5.119501,8.216391442254404e-39,2.2092233309933643e-35,11.749731,0.5140324,0.91780823,0.16926898,4.5146246,0.9414114,73,0.005154275224175669
