rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Ciliated,Tuba1a,59.720413,6.43033,0.0,0.0,44.330593,1.0889746,0.99774945,0.2653936,5.3472605,0.9961314,1333,0.09411847772364612
2,Ciliated,Cd24a,58.59754,4.518348,0.0,0.0,27.625654,2.0516758,0.9954989,0.48480123,3.751134,0.9868031,1333,0.09411847772364612
3,Ciliated,Ccdc153,58.394466,7.3650446,0.0,0.0,13.366972,0.15762252,0.975994,0.051831644,6.4060555,0.985116,1333,0.09411847772364612
4,Ciliated,Tppp3,57.839916,5.0108852,0.0,0.0,23.07999,1.4702237,0.9887472,0.30568978,3.9725351,0.98050904,1333,0.09411847772364612
5,Ciliated,Dynlrb2,57.503265,6.801877,0.0,0.0,11.007461,0.27822283,0.9752438,0.049103662,5.306097,0.97771233,1333,0.09411847772364612
6,Ciliated,Tubb4b,57.359493,3.4234936,0.0,0.0,40.892555,5.0068307,0.99774945,0.78776306,3.0298686,0.9765179,1333,0.09411847772364612
7,Ciliated,Calm1,57.303333,2.5998225,0.0,0.0,32.630516,6.2542577,0.99774945,0.9032736,2.3833113,0.97605133,1333,0.09411847772364612
8,Ciliated,Chchd10,56.856945,3.6844537,0.0,0.0,16.041548,1.7932786,0.9827457,0.5263445,3.1611419,0.9723429,1333,0.09411847772364612
9,Ciliated,Tmem212,56.03788,7.7342215,0.0,0.0,9.223666,0.078417435,0.93698424,0.0268901,6.878022,0.9655385,1333,0.09411847772364612
10,Ciliated,Foxj1,55.982574,5.8650994,0.0,0.0,12.704788,0.730237,0.9767442,0.09898675,4.120864,0.96507907,1333,0.09411847772364612
