rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Cycling Basal (homeostasis),Stmn1,17.017189,4.538585,6.124081479729504e-65,1.6466430282696692e-60,14.079326,1.1489197,0.9375,0.23683648,3.6152284,0.9361933,128,0.009037633269787475
2,Cycling Basal (homeostasis),Hmgb2,16.726723,3.587819,8.372052046209545e-63,1.1255386770924112e-58,16.207588,2.1857383,0.9765625,0.46704668,2.890477,0.9287482,128,0.009037633269787475
3,Cycling Basal (homeostasis),H2afz,16.17413,2.679803,7.677639541015989e-59,6.881212399294598e-55,16.709799,4.0754375,0.984375,0.6899893,2.0356674,0.91458327,128,0.009037633269787475
4,Cycling Basal (homeostasis),Ptma,15.111548,1.5933938,1.3590812605768683e-51,9.135744233597708e-48,45.05401,17.315891,1.0,0.98425364,1.3795588,0.8873469,128,0.009037633269787475
5,Cycling Basal (homeostasis),Ptms,14.829062,2.1037822,9.505130835924184e-50,5.111479158326589e-46,10.177345,3.0728855,1.0,0.715212,1.7276953,0.8801064,128,0.009037633269787475
6,Cycling Basal (homeostasis),Cenpa,14.568869,4.773787,4.431726772890315e-48,1.986004491157913e-44,4.493837,0.25009233,0.796875,0.08293552,4.167415,0.8734367,128,0.009037633269787475
7,Cycling Basal (homeostasis),Cdca3,14.466574,4.545861,1.9704701663721384e-47,7.568857404773438e-44,3.7765343,0.24318421,0.796875,0.08635554,3.9569414,0.8708146,128,0.009037633269787475
8,Cycling Basal (homeostasis),Ccnb2,14.366656,4.517146,8.377925987716838e-47,2.8158209244716294e-43,4.0328827,0.28336737,0.796875,0.08706804,3.831066,0.86825347,128,0.009037633269787475
9,Cycling Basal (homeostasis),Mki67,14.31217,4.3232446,1.8369015490244402e-46,5.487845427796572e-43,5.225667,0.46902955,0.8125,0.10231564,3.4778645,0.8668569,128,0.009037633269787475
10,Cycling Basal (homeostasis),Cks2,14.252027,4.0648313,4.35456493815624e-46,1.1708554205714497e-42,4.7359853,0.4109934,0.8125,0.13566084,3.5264776,0.8653152,128,0.009037633269787475
