rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Cycling Basal (regeneration),Hmgb2,51.63184,3.4335945,0.0,0.0,10.287414,1.5458875,0.9847021,0.42233574,2.734373,0.9428035,1242,0.08769328532090659
2,Cycling Basal (regeneration),Tubb5,51.076656,3.5216708,0.0,0.0,15.794082,1.8426347,0.9758454,0.51590437,3.0995421,0.9380421,1242,0.08769328532090659
3,Cycling Basal (regeneration),Stmn1,50.865513,4.213039,0.0,0.0,6.630292,0.7501278,0.96457326,0.17382556,3.1438642,0.9362313,1242,0.08769328532090659
4,Cycling Basal (regeneration),H2afz,50.109516,2.6472812,0.0,0.0,13.065792,3.3364224,0.9951691,0.66357094,1.9694207,0.9297477,1242,0.08769328532090659
5,Cycling Basal (regeneration),Ran,50.036983,2.5379355,0.0,0.0,10.779338,2.736085,0.989533,0.6416686,1.9780836,0.9291257,1242,0.08769328532090659
6,Cycling Basal (regeneration),Mki67,49.284595,6.1321287,0.0,0.0,4.549111,0.123962454,0.8679549,0.035755746,5.1976094,0.92267317,1242,0.08769328532090659
7,Cycling Basal (regeneration),Birc5,48.1575,6.1159544,0.0,0.0,4.2469487,0.12089097,0.84863126,0.032040864,5.1346483,0.913007,1242,0.08769328532090659
8,Cycling Basal (regeneration),Tk1,47.694748,5.801347,0.0,0.0,4.436721,0.1438864,0.84541065,0.04194722,4.9464917,0.90903836,1242,0.08769328532090659
9,Cycling Basal (regeneration),2810417H13Rik,46.902504,5.524803,0.0,0.0,3.88528,0.1332838,0.8325282,0.05224054,4.865445,0.9022439,1242,0.08769328532090659
10,Cycling Basal (regeneration),Ptma,46.79582,1.4734329,0.0,0.0,36.143093,15.78092,1.0,0.9828961,1.1955386,0.901329,1242,0.08769328532090659
