rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Ionocytes,Gnas,9.256302,3.710588,2.116359599815346e-20,5.690467691983502e-16,99.21194,7.1583366,1.0,0.94771475,3.7928174,0.99671614,29,0.0020475887876862248
2,Ionocytes,Gm933,8.993452,12.899766,2.3958372496360174e-19,1.6406976428653967e-15,18.52161,0.0035134482,0.9655172,0.0012027734,12.364034,0.982611,29,0.0020475887876862248
3,Ionocytes,Ascl3,8.99027,11.566408,2.4662400404588225e-19,1.6406976428653967e-15,23.879148,0.01104839,0.9655172,0.004315834,11.0777,0.98244023,29,0.0020475887876862248
4,Ionocytes,Foxi1,8.987133,10.624614,2.5376366306553903e-19,1.6406976428653967e-15,9.389645,0.009812854,0.9655172,0.0038913258,9.902182,0.9822719,29,0.0020475887876862248
5,Ionocytes,Stap1,8.966856,8.966458,3.0509849056556767e-19,1.6406976428653967e-15,12.620941,0.03290346,0.9655172,0.016909579,8.5833645,0.98118377,29,0.0020475887876862248
6,Ionocytes,Ldhb,8.432883,4.5642858,3.3725118329005974e-17,1.5113349693838545e-13,6.112499,0.38425934,0.9655172,0.16796377,3.99161,0.9525295,29,0.0020475887876862248
7,Ionocytes,Slc12a2,8.374962,5.6808453,5.5241554994749517e-17,2.1219070438554644e-13,20.645416,0.64176255,0.9310345,0.17878874,5.007638,0.9494213,29,0.0020475887876862248
8,Ionocytes,Hepacam2,8.237457,7.4325075,1.7590964643219502e-16,5.912323216586075e-13,7.778717,0.11085549,0.8965517,0.020800905,6.13278,0.9420424,29,0.0020475887876862248
9,Ionocytes,Hacd3,7.9315763,4.071436,2.163817831009884e-15,6.464525982243752e-12,4.4142337,0.36684686,0.9310345,0.17857648,3.5889132,0.9256281,29,0.0020475887876862248
10,Ionocytes,Plcg2,7.781318,5.505159,7.17727189526289e-15,1.9298248671982857e-11,4.5481434,0.14803049,0.86206895,0.066364795,4.9413114,0.91756487,29,0.0020475887876862248
