rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Krt4/13+,Anxa1,17.462523,2.857353,2.7644453770651018e-68,7.433040729852646e-64,49.738182,8.8672695,1.0,0.8944895,2.487792,0.96799374,117,0.008260961660665114
2,Krt4/13+,Lgals3,16.795654,2.9826183,2.625910332189794e-63,3.530273850595959e-59,26.339266,5.0730686,1.0,0.7277517,2.3762846,0.95012176,117,0.008260961660665114
3,Krt4/13+,Aqp5,16.678007,2.5893123,1.894347146151659e-62,1.6978402021908602e-58,35.827522,7.961141,1.0,0.8296312,2.170021,0.9469688,117,0.008260961660665114
4,Krt4/13+,Krt4,16.245674,3.7506368,2.3969230867770325e-59,1.5639724845806053e-55,37.38036,5.3184323,1.0,0.56421757,2.8132074,0.93538237,117,0.008260961660665114
5,Krt4/13+,S100a6,16.23381,1.9207748,2.908309440234687e-59,1.5639724845806053e-55,120.87899,39.861904,1.0,0.9879681,1.600481,0.9350647,117,0.008260961660665114
6,Krt4/13+,Mal,16.213387,4.125405,4.055863697577468e-59,1.8175677183410497e-55,11.721876,1.1116238,0.95726496,0.27409938,3.398463,0.934517,117,0.008260961660665114
7,Krt4/13+,Gsto1,15.964672,2.0425203,2.2522067418823354e-57,8.65104783939032e-54,228.11388,68.83036,1.0,0.9920262,1.7286373,0.92785156,117,0.008260961660665114
8,Krt4/13+,Krt15,15.381679,2.269196,2.172425941549609e-53,7.301523589548236e-50,70.93266,24.373838,1.0,0.8645878,1.5411166,0.91222733,117,0.008260961660665114
9,Krt4/13+,Anxa2,15.044515,1.739783,3.7507187295460144e-51,1.1205480577781471e-47,18.8088,6.609446,0.991453,0.9069486,1.5088066,0.9031917,117,0.008260961660665114
10,Krt4/13+,Plac8,14.898508,4.5216055,3.37020122088931e-50,9.061797042727178e-47,8.907443,0.65990776,0.8717949,0.15328208,3.7546751,0.89927846,117,0.008260961660665114
