rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,PNEC,Nov,14.8573,9.744474,6.238989836012256e-50,1.6775395871069753e-45,43.41287,0.09764649,1.0,0.039321456,8.796339,0.9999036,74,0.005224881734095884
2,PNEC,Ascl1,14.654035,11.59891,1.2694762387441646e-48,1.706683855367655e-44,21.229076,0.016480329,0.9864865,0.004187664,10.33108,0.99306434,74,0.005224881734095884
3,PNEC,Igfbp5,14.597906,4.436085,2.8960516419215257e-48,2.3236243605010747e-44,58.807205,4.5107465,1.0,0.67932427,3.7045548,0.9911758,74,0.005224881734095884
4,PNEC,Wfdc2,-14.585834,-5.0282097,3.456745552664497e-48,2.3236243605010747e-44,2.2993395,49.508705,0.4864865,0.9947477,-4.428391,0.0092304135,74,0.005224881734095884
5,PNEC,Insm1,14.447649,9.452604,2.593900709005615e-47,1.3948960452748595e-43,9.697355,0.022915427,0.972973,0.011498332,8.725128,0.9861201,74,0.005224881734095884
6,PNEC,Gsto1,-14.361973,-4.977388,8.963843188443908e-47,4.016996927514663e-43,3.138829,70.4983,0.5540541,0.9943928,-4.48929,0.016762646,74,0.005224881734095884
7,PNEC,Cd9,14.261845,2.0872605,3.783216403065827e-46,1.4531874663661997e-42,52.974228,14.043894,1.0,0.9730996,1.9153477,0.97986835,74,0.005224881734095884
8,PNEC,Ddc,14.236688,9.284421,5.423762953904505e-46,1.822926728807304e-42,15.558295,0.037007336,0.9594595,0.018596068,8.715657,0.97902185,74,0.005224881734095884
9,PNEC,Cbr2,-14.124159,-5.895113,2.6960018867425596e-45,8.054455414525995e-42,3.567033,121.36498,0.45945945,0.9908439,-5.088484,0.024764383,74,0.005224881734095884
10,PNEC,Syt7,14.010447,7.742239,1.3455565096620882e-44,3.617932343179423e-41,9.859026,0.07014917,0.9459459,0.03570161,7.1348753,0.97140956,74,0.005224881734095884
