rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Pre-ciliated,Ccno,31.651712,6.9000545,7.182735911090079e-220,1.9312940317739005e-215,12.05491,0.24072215,0.9808743,0.056244113,5.646108,0.9839123,366,0.02584198263079856
2,Pre-ciliated,Hsp90aa1,30.737864,3.591421,1.7764490388226425e-207,2.3882580877931605e-203,31.9142,4.2882633,0.9945355,0.7071827,2.895733,0.9699408,366,0.02584198263079856
3,Pre-ciliated,Foxj1,30.562166,5.398756,3.897497765032904e-205,3.493197330206824e-201,18.08498,1.4267826,0.9945355,0.16003479,3.6639545,0.9672546,366,0.02584198263079856
4,Pre-ciliated,Cdkn1a,30.301373,4.9774942,1.0995693048278457e-201,7.391304867052778e-198,9.77706,0.59687304,0.9672131,0.16532579,4.0339046,0.96326745,366,0.02584198263079856
5,Pre-ciliated,Ccdc67,30.222782,6.829162,1.1891769606432281e-200,6.394918023555023e-197,6.5954833,0.11155032,0.93715847,0.03623976,5.8857117,0.9620659,366,0.02584198263079856
6,Pre-ciliated,Myb,30.121582,5.0061264,2.5280864954330496e-199,1.1329198281533973e-195,8.963385,0.5137863,0.9590164,0.15691817,4.124803,0.96051866,366,0.02584198263079856
7,Pre-ciliated,H2afz,29.509178,2.9682527,2.1953017816247618e-191,8.432467757760943e-188,18.670021,3.8054981,0.9972678,0.6845691,2.2945664,0.95115584,366,0.02584198263079856
8,Pre-ciliated,Phf10,28.776709,4.1513114,4.197358392865377e-182,1.4107321558420533e-178,8.014809,0.7248001,0.94808745,0.2386026,3.4670131,0.9399573,366,0.02584198263079856
9,Pre-ciliated,Ptges3,27.934574,2.620782,1.0150354114907645e-171,3.0324746826848534e-168,13.955023,3.2111876,0.9945355,0.6771037,2.1196055,0.92708236,366,0.02584198263079856
10,Pre-ciliated,Fam216a,27.915901,3.940025,1.7108610243783693e-171,4.600163122348559e-168,7.104702,0.851612,0.9508197,0.23200695,3.0605059,0.9267968,366,0.02584198263079856
