rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Secretory,Cyp2a5,84.59938,4.6754227,0.0,0.0,123.79946,14.342302,0.98372287,0.6228791,3.1096563,0.9337287,4792,0.3383463955376686
2,Secretory,Bpifa1,84.29577,5.682985,0.0,0.0,1227.8483,91.41583,0.98393154,0.8422794,3.7475445,0.9321721,4792,0.3383463955376686
3,Secretory,Pigr,82.706856,4.8672333,0.0,0.0,13.301873,0.71179146,0.90692824,0.18525237,4.224031,0.924026,4792,0.3383463955376686
4,Secretory,Cyp2a4,82.428665,4.1293907,0.0,0.0,30.557247,3.859895,0.9661937,0.42407426,2.9848812,0.92259973,4792,0.3383463955376686
5,Secretory,Scgb1a1,79.859604,6.0657315,0.0,0.0,219.10625,4.491977,0.9223706,0.39472842,5.608136,0.90942854,4792,0.3383463955376686
6,Secretory,Scgb3a2,78.7547,4.0702043,0.0,0.0,156.56209,18.583485,0.9630634,0.7176395,3.074642,0.90376383,4792,0.3383463955376686
7,Secretory,Reg3g,77.84097,4.369061,0.0,0.0,190.9451,20.522686,0.97725374,0.71347773,3.2178664,0.89907926,4792,0.3383463955376686
8,Secretory,Scgb3a1,76.38728,6.0282288,0.0,0.0,133.78255,2.6653285,0.8716611,0.28289405,5.6494327,0.8916265,4792,0.3383463955376686
9,Secretory,Muc5b,74.25282,6.1713085,0.0,0.0,9.364463,0.196573,0.78359765,0.050154734,5.574059,0.8806834,4792,0.3383463955376686
10,Secretory,Lypd2,72.83865,1.8934804,0.0,0.0,12.22733,4.354057,0.9878965,0.77046204,1.4896772,0.8734333,4792,0.3383463955376686
