label,rank,gene,scores,pval,qval,log2fc,mean_in_norm,mean_out_norm,pct_in,pct_out,auc_norm_expr,cells_in_label,label_frequency
Basal,1,Aqp3,82.93797,0.0,0.0,2.3352194,25.900724,5.1326404,0.9818605,0.5316409,0.90707016,6009,0.4242745181105698
Basal,2,Eef1a1,81.70222,0.0,0.0,0.9084811,91.558525,48.77741,1.0,0.99963206,0.9010049,6009,0.4242745181105698
Basal,3,Rplp1,81.67474,0.0,0.0,1.2305324,31.175138,13.285602,0.9998336,0.98736817,0.90087,6009,0.4242745181105698
Basal,4,Rpl23,81.02507,0.0,0.0,1.2138523,39.122963,16.866533,0.99966717,0.9879814,0.8976815,6009,0.4242745181105698
Basal,5,Rps14,80.7375,0.0,0.0,1.3157505,22.404865,9.000403,0.9976702,0.9627177,0.8962699,6009,0.4242745181105698
Basal,6,Gm15427,80.298805,0.0,0.0,1.5100063,20.76613,7.2911897,0.9970045,0.9185676,0.8941169,6009,0.4242745181105698
Basal,7,Tpt1,78.427185,0.0,0.0,1.018807,48.58183,23.976313,1.0,0.99730194,0.8849306,6009,0.4242745181105698
Basal,8,Tmsb4x,77.843544,0.0,0.0,1.302138,38.409073,15.575831,0.99966717,0.94628406,0.88206595,6009,0.4242745181105698
Basal,9,Rps24,77.37791,0.0,0.0,1.2920251,25.509533,10.417517,0.9988351,0.9455482,0.87978053,6009,0.4242745181105698
Basal,10,Rps19,77.08805,0.0,0.0,1.4149704,18.193027,6.822703,0.9958396,0.8994359,0.878358,6009,0.4242745181105698
Brush,1,Trpm5,14.758246,2.7226675956833442e-49,7.320708631273376e-45,10.231387,13.591759,0.011306315,1.0,0.006032647,0.99994266,73,0.005154275224175669
Brush,2,Lrmp,14.553574,5.543033211259552e-48,7.452053849217342e-44,10.566242,37.330406,0.024621062,0.98630136,0.007877927,0.9930092,73,0.005154275224175669
Brush,3,Plac8,14.473759,1.7750096165072584e-47,1.4852863448765895e-43,5.7527456,30.843027,0.57201576,0.98630136,0.15493257,0.9903055,73,0.005154275224175669
Brush,4,Hepacam2,14.458692,2.2095899209708264e-47,1.4852863448765895e-43,6.955721,9.610334,0.07742084,0.98630136,0.017601136,0.989795,73,0.005154275224175669
Brush,5,Avil,14.344595,1.1517096180067366e-46,6.193433641793027e-43,9.36483,14.4012,0.021842578,0.9726027,0.01007807,0.98592997,73,0.005154275224175669
Brush,6,Anxa4,14.062819,6.427404236255158e-45,2.880334085073811e-41,3.9811723,15.793504,1.0000603,0.9726027,0.37068844,0.9763847,73,0.005154275224175669
Brush,7,Gsto1,-13.477082,2.133795611164959e-41,8.196213770429061e-38,-3.4843018,6.297517,70.4772,0.6712329,0.99375445,0.043457422,73,0.005154275224175669
