rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,DC2,CD1C,15.071115,5.37268,2.5084366286868475e-51,5.028412065865655e-47,9.662085,0.38396615,0.94285715,0.17874396,4.6532836,0.9457925,105,0.09210526315789473
2,DC2,FCER1A,13.8969145,4.87429,6.613166392568758e-44,6.628376675271666e-40,37.834316,6.622471,0.95238096,0.33816424,2.5142539,0.9110605,105,0.09210526315789473
3,DC2,CLEC10A,13.363399,4.4045305,9.894157833418266e-41,6.611276264290085e-37,8.820153,0.8720169,0.8952381,0.18743962,3.3383756,0.8952795,105,0.09210526315789473
4,DC2,HLA-DQA1,13.104107,2.9002097,3.119124680829616e-39,1.5631493337977619e-35,45.36391,13.6941395,1.0,0.80966187,1.7279863,0.88760984,105,0.09210526315789473
5,DC2,HLA-DQA2,12.845904,2.3398404,9.068636587349978e-38,3.2440917201847906e-34,2.8913155,0.7693635,1.0,0.5903382,1.9099888,0.8799724,105,0.09210526315789473
6,DC2,HLA-DRA,12.840615,1.9013861,9.70994229327983e-38,3.2440917201847906e-34,344.61917,139.74203,1.0,0.98743963,1.3022369,0.87981594,105,0.09210526315789473
7,DC2,HLA-DQB,12.309899,3.0425422,8.012269960965521e-35,2.2944851948216405e-31,57.14005,18.009922,0.9904762,0.8318841,1.6657103,0.8641178,105,0.09210526315789473
8,DC2,HLA-DRB4,12.157778,2.7537775,5.215828871562486e-34,1.30695631949177e-30,27.648802,9.678344,1.0,0.7536232,1.5143849,0.8596181,105,0.09210526315789473
9,DC2,HLA-DRB1,11.922284,1.8310843,9.059014290928769e-33,2.017744449732868e-29,210.97964,93.52593,1.0,0.978744,1.1736654,0.85265243,105,0.09210526315789473
10,DC2,DQ-A1,11.870799,2.2510343,1.6785623357959608e-32,3.364846058336583e-29,1.4458549,0.3716529,0.93333334,0.43671498,1.959895,0.85112953,105,0.09210526315789473
