rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Mono3,G0S2,8.554472,5.2075195,1.1840910324457048e-17,2.2130322896288365e-13,27.847454,2.653666,1.0,0.22723174,3.3914866,0.9498822,31,0.027192982456140352
2,Mono3,NAMPT,8.459893,3.1334789,2.6762345452519966e-17,2.2130322896288365e-13,21.490273,3.6405363,1.0,0.8620379,2.561461,0.9449082,31,0.027192982456140352
3,Mono3,NEAT1,8.435003,2.648364,3.3119309931589893e-17,2.2130322896288365e-13,4.4866495,0.9232137,1.0,0.9224527,2.280902,0.9435993,31,0.027192982456140352
4,Mono3,AL137655,8.310556,2.8376782,9.525418709574572e-17,4.773663586303297e-13,2.0332086,0.42102885,1.0,0.6122633,2.2717671,0.9370546,31,0.027192982456140352
5,Mono3,CSF3R,8.275159,3.210366,1.2828492172729365e-16,5.143199081890658e-13,4.7475705,0.80574554,1.0,0.5374211,2.5587933,0.935193,31,0.027192982456140352
6,Mono3,FCGR3B,8.204085,6.122431,2.323527172886709e-16,7.762904284614494e-13,6.861657,0.3028707,0.9032258,0.2308386,4.5017834,0.93145525,31,0.027192982456140352
7,Mono3,TNFRSF10C,8.148223,5.1014137,3.6931172710730915e-16,9.403309371212727e-13,2.3319004,0.11054459,0.9032258,0.07213706,4.3988056,0.9285174,31,0.027192982456140352
8,Mono3,SRGN,8.146287,1.808451,3.752692555607194e-16,9.403309371212727e-13,69.29784,22.24925,1.0,0.9729486,1.6390536,0.9284156,31,0.027192982456140352
9,Mono3,TREM1,8.125269,3.472686,4.463706181356678e-16,9.942161567941776e-13,5.1104302,0.7585307,1.0,0.3417493,2.7521653,0.9273103,31,0.027192982456140352
10,Mono3,MXD1,8.046729,2.9964669,8.503588589770568e-16,1.7046293687054082e-12,2.1161318,0.29901767,1.0,0.5825068,2.8231268,0.92317986,31,0.027192982456140352
