rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,Singleton,SKP1,-11.099496,-3.9941618,1.2615309730572257e-28,1.2644324942952573e-24,0.21804625,2.302638,0.14285715,0.9266481,-3.4005816,0.084493965,63,0.05526315789473684
2,Singleton,EIF2S3,-11.133748,-3.1858497,8.594382152112077e-29,1.2644324942952573e-24,1.3577516,2.4357793,0.23809524,0.9786444,-0.8431639,0.08321174,63,0.05526315789473684
3,Singleton,RPL23,-11.016424,-3.6792357,3.184584521233995e-28,2.1279393770885553e-24,2.857457,9.285389,0.26984128,0.98978645,-1.7002306,0.08760372,63,0.05526315789473684
4,Singleton,POLR2E,-10.778824,-4.699088,4.3338941449966145e-27,1.7375448406120428e-23,0.03340857,0.75884795,0.0952381,0.86165273,-4.505521,0.096498206,63,0.05526315789473684
5,Singleton,CNPY3,-10.782762,-3.7626972,4.152302171063218e-27,1.7375448406120428e-23,0.71910334,3.4760988,0.12698413,0.9247911,-2.2731981,0.09635083,63,0.05526315789473684
6,Singleton,COX7C,-10.684926,-3.7715607,1.1974457909366148e-26,3.0004997906394225e-23,1.3238614,4.3263345,0.11111111,0.92293406,-1.7083931,0.10001326,63,0.05526315789473684
7,Singleton,EEF1B2,-10.690635,-3.8504794,1.1259782558112214e-26,3.0004997906394225e-23,32.077213,13.497743,0.22222222,0.97493035,1.2488307,0.09979956,63,0.05526315789473684
8,Singleton,EIF5A,-10.707957,-4.400804,9.339958189952548e-27,3.0004997906394225e-23,0.12254087,2.043464,0.0952381,0.86536676,-4.059682,0.09915108,63,0.05526315789473684
9,Singleton,SERF2,-10.671934,-2.6001873,1.3772979730253913e-26,3.0677016852518885e-23,0.5287514,1.3174492,0.1904762,0.98700094,-1.317086,0.10049962,63,0.05526315789473684
10,Singleton,NPC2,-10.57902,-3.862861,3.728389482864939e-26,7.473929557351057e-23,2.7276826,9.568163,0.20634921,0.9675023,-1.8105662,0.10397784,63,0.05526315789473684
