gene,label,label_frequency,neg_log10_freq,metric_value,metric_quantile
C1ORF54,DC1,0.1456140350877193,0.8367967632964175,0.9510174272186964,0.9510426110607434
CLEC9A,DC1,0.1456140350877193,0.8367967632964175,0.9196887277122998,0.9197139115543468
HLA-DPA1,DC1,0.1456140350877193,0.8367967632964175,0.9923189281756823,0.9923441120177294
CADM1,DC1,0.1456140350877193,0.8367967632964175,0.8316963836002821,0.831721567442329
HLA-DPB2,DC1,0.1456140350877193,0.8367967632964175,0.980683993149995,0.9807091769920419
WDFY4,DC1,0.1456140350877193,0.8367967632964175,0.9043265840636648,0.9043517679057117
TYROBP,DC1,0.1456140350877193,0.8367967632964175,0.985922232295759,0.985947416137806
CPVL,DC1,0.1456140350877193,0.8367967632964175,0.9865266445048856,0.9865518283469326
CD74,DC1,0.1456140350877193,0.8367967632964175,0.9949380477485644,0.9949632315906115
HLA-DPB1,DC1,0.1456140350877193,0.8367967632964175,0.8517930895537423,0.8518182733957893
CD1C,DC2,0.0921052631578947,1.0357155522665347,0.9792233303112724,0.9792485141533193
FCER1A,DC2,0.0921052631578947,1.0357155522665347,0.9993704039488264,0.9993955877908733
CLEC10A,DC2,0.0921052631578947,1.0357155522665347,0.9698549410698096,0.9698801249118566
HLA-DQA1,DC2,0.0921052631578947,1.0357155522665347,0.9747406064269164,0.9747657902689635
HLA-DQA2,DC2,0.0921052631578947,1.0357155522665347,0.5910899566837917,0.5911151405258386
HLA-DRA,DC2,0.0921052631578947,1.0357155522665347,0.9961468721668176,0.9961720560088647
HLA-DQB,DC2,0.0921052631578947,1.0357155522665347,0.9871814243981062,0.9872066082401532
HLA-DRB4,DC2,0.0921052631578947,1.0357155522665347,0.956457137100836,0.956482320942883
HLA-DRB1,DC2,0.0921052631578947,1.0357155522665347,0.9976579026896344,0.9976830865316813
DQ-A1,DC2,0.0921052631578947,1.0357155522665347,0.3177949027903697,0.3178200866324166
FCER1A,DC3,0.0833333333333333,1.0791812460476249,0.9993704039488264,0.9993955877908733
ANXA2,DC3,0.0833333333333333,1.0791812460476249,0.98813841039589,0.988163594237937
RNASE2,DC3,0.0833333333333333,1.0791812460476249,0.9786189181021456,0.9786441019441926
ANXA1,DC3,0.0833333333333333,1.0791812460476249,0.9970534904805076,0.9970786743225547
GAPDH,DC3,0.0833333333333333,1.0791812460476249,0.9720711191699406,0.9720963030119875
CD1C,DC3,0.0833333333333333,1.0791812460476249,0.9792233303112724,0.9792485141533193
CLEC10A,DC3,0.0833333333333333,1.0791812460476249,0.9698549410698096,0.9698801249118566
SH3BGRL3,DC3,0.0833333333333333,1.0791812460476249,0.908204895738894,0.9082300795809408
S100A9,DC3,0.0833333333333333,1.0791812460476249,0.9990681978442632,0.99909338168631
CAPG,DC3,0.0833333333333333,1.0791812460476249,0.8770272992847788,0.8770524831268258
FCGR3A,DC4,0.1596491228070175,0.7968334633513979,0.991714515966556,0.9917396998086028
LST1,DC4,0.1596491228070175,0.7968334633513979,0.9888435579732044,0.9888687418152513
