rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,arachnoid barrier cell,ENSG00000083067,40.759335,5.6867085,0.0,0.0,57.695,4.284248,0.98531574,0.26670513,3.7513323,0.9518662,681,0.004345162895754374
2,arachnoid barrier cell,ENSG00000173068,40.596966,4.253642,0.0,0.0,28.941923,3.5509286,0.99412626,0.41902015,3.0268924,0.9500663,681,0.004345162895754374
3,arachnoid barrier cell,ENSG00000107317,38.76203,6.240285,0.0,0.0,235.80136,14.492779,0.9676946,0.34527218,4.024166,0.9297237,681,0.004345162895754374
4,arachnoid barrier cell,ENSG00000080493,38.65311,5.2933617,0.0,0.0,14.820382,0.7586434,0.9148311,0.15705085,4.288017,0.9285162,681,0.004345162895754374
5,arachnoid barrier cell,ENSG00000158296,37.94698,5.1602154,0.0,0.0,10.318824,0.38960618,0.8957416,0.14350347,4.727118,0.9206879,681,0.004345162895754374
6,arachnoid barrier cell,ENSG00000133083,37.66687,4.052567,1.73239662377304e-310,8.649278876957518e-307,16.104279,1.6134384,0.95301026,0.3275978,3.3192337,0.9175825,681,0.004345162895754374
7,arachnoid barrier cell,ENSG00000078114,37.563183,5.2543454,8.583684349408653e-309,3.673326405298366e-305,9.814559,0.32252815,0.8751836,0.14247172,4.9274263,0.9164331,681,0.004345162895754374
8,arachnoid barrier cell,ENSG00000121742,37.19603,5.8338847,7.910772148493104e-303,2.9621886310032424e-299,11.757094,0.38960898,0.8575624,0.087083854,4.915361,0.91236275,681,0.004345162895754374
9,arachnoid barrier cell,ENSG00000170017,36.99314,3.7760212,1.4760827374994135e-299,4.91305938717027e-296,19.357557,3.5531297,0.98237884,0.4178346,2.4457347,0.91011345,681,0.004345162895754374
10,arachnoid barrier cell,ENSG00000151012,36.71555,4.2955775,4.124802325797822e-295,1.2356257847159955e-291,20.632332,1.7847588,0.938326,0.29160178,3.5311058,0.90703607,681,0.004345162895754374
