rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,capillary endothelial cell,ENSG00000078596,99.22218,6.656137,0.0,0.0,90.00806,2.381747,0.9988297,0.43680695,5.239962,0.9953608,3418,0.021808761788088767
2,capillary endothelial cell,ENSG00000184113,97.474785,6.4773974,0.0,0.0,37.40208,1.6463275,0.99678177,0.19203173,4.5057955,0.986637,3418,0.021808761788088767
3,capillary endothelial cell,ENSG00000017483,95.468475,6.4429727,0.0,0.0,9.029267,0.20849271,0.96840256,0.07549508,5.43654,0.9766206,3418,0.021808761788088767
4,capillary endothelial cell,ENSG00000172889,95.231,5.160411,0.0,0.0,15.474493,0.95227665,0.99502635,0.24701256,4.0223675,0.9754351,3418,0.021808761788088767
5,capillary endothelial cell,ENSG00000103257,93.37939,5.803421,0.0,0.0,9.3623495,0.34103706,0.9602106,0.1181543,4.77887,0.966191,3418,0.021808761788088767
6,capillary endothelial cell,ENSG00000085276,92.88186,5.3710403,0.0,0.0,9.179573,0.5255815,0.97249854,0.13536802,4.1264405,0.9637071,3418,0.021808761788088767
7,capillary endothelial cell,ENSG00000112335,92.807495,2.5824451,0.0,0.0,15.773007,3.533388,0.9906378,0.79643595,2.1583338,0.9633359,3418,0.021808761788088767
8,capillary endothelial cell,ENSG00000149564,92.7001,5.7939954,0.0,0.0,4.8314505,0.18961109,0.9605032,0.05235865,4.671341,0.9627997,3418,0.021808761788088767
9,capillary endothelial cell,ENSG00000102755,91.713326,6.1504755,0.0,0.0,7.10595,0.37656522,0.9499707,0.042900566,4.2380557,0.9578733,3418,0.021808761788088767
10,capillary endothelial cell,ENSG00000101000,91.597885,6.215455,0.0,0.0,4.6175094,0.10667999,0.9335869,0.05208469,5.4357533,0.9572969,3418,0.021808761788088767
