rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,chondrocyte,ENSG00000139329,33.99561,4.493209,2.586923331234327e-253,7.749387531045549e-249,66.58443,8.513642,0.99774265,0.5367634,2.9673364,0.96692425,443,0.002826589079029644
2,chondrocyte,ENSG00000175183,32.54819,4.007181,2.220926521150489e-232,3.326503743379202e-228,17.580397,1.6287897,0.9706546,0.45667794,3.4320955,0.94704413,443,0.002826589079029644
3,chondrocyte,ENSG00000122691,32.066536,3.5702348,1.2914185605284143e-225,1.2895244799729726e-221,11.610939,1.6349919,0.9706546,0.42921495,2.8281293,0.9404287,443,0.002826589079029644
4,chondrocyte,ENSG00000184009,31.823977,2.4076962,3.0167227732784594e-222,2.259223684908238e-218,84.22152,28.429663,1.0,0.86110455,1.566792,0.93709713,443,0.002826589079029644
5,chondrocyte,ENSG00000116132,31.240208,3.7469618,3.0325860120088046e-214,1.816882931514715e-210,7.99577,0.88654625,0.9390519,0.32304218,3.172969,0.92907923,443,0.002826589079029644
6,chondrocyte,ENSG00000185532,31.047707,3.9134078,1.2251618184275393e-211,6.116824572135895e-208,13.530078,2.3403337,0.98419863,0.33395186,2.531384,0.9264352,443,0.002826589079029644
7,chondrocyte,ENSG00000156482,30.301004,1.7096467,1.111960682371288e-201,4.7585563144449005e-198,59.816593,24.425444,0.993228,0.9371909,1.292161,0.9161794,443,0.002826589079029644
8,chondrocyte,ENSG00000134532,30.2528,4.061579,4.7930996976047655e-201,1.7947761817681045e-197,9.566945,1.0167234,0.9322799,0.24812679,3.234131,0.91551733,443,0.002826589079029644
9,chondrocyte,ENSG00000176788,30.210497,2.8501277,1.7244357215618683e-200,5.739688497234148e-197,15.217203,3.671384,0.97291195,0.61022633,2.0513072,0.9149364,443,0.002826589079029644
10,chondrocyte,ENSG00000145425,29.651794,1.7545503,3.2156871354751404e-193,9.63291238302933e-190,62.31548,25.920225,0.9909707,0.9219045,1.2655123,0.90726274,443,0.002826589079029644
