rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,choroid plexus epithelial cell,ENSG00000118271,140.13618,7.617989,0.0,0.0,1021.81946,12.324298,0.98544854,0.5392782,6.373491,0.9669824,7903,0.050425583502418235
2,choroid plexus epithelial cell,ENSG00000147246,138.82439,7.687781,0.0,0.0,35.67244,0.5460953,0.9429331,0.07133306,6.0295134,0.9626111,7903,0.050425583502418235
3,choroid plexus epithelial cell,ENSG00000083067,136.60484,5.6065993,0.0,0.0,33.24263,2.9908555,0.98582816,0.23180556,3.4744043,0.9552148,7903,0.050425583502418235
4,choroid plexus epithelial cell,ENSG00000186094,135.50107,5.8353724,0.0,0.0,5.258593,0.14237529,0.9307858,0.06408284,5.2069063,0.95153666,7903,0.050425583502418235
5,choroid plexus epithelial cell,ENSG00000110195,133.3978,6.9318523,0.0,0.0,19.996809,0.25934365,0.9101607,0.07531094,6.2687607,0.9445278,7903,0.050425583502418235
6,choroid plexus epithelial cell,ENSG00000133640,133.38539,5.1457224,0.0,0.0,4.053082,0.17620493,0.92876124,0.087822445,4.523693,0.94448644,7903,0.050425583502418235
7,choroid plexus epithelial cell,ENSG00000159212,133.33804,5.8964844,0.0,0.0,4.842877,0.12759751,0.9118056,0.06275912,5.2461925,0.94432867,7903,0.050425583502418235
8,choroid plexus epithelial cell,ENSG00000163453,132.18338,4.9388394,0.0,0.0,24.093689,1.9156778,0.9595091,0.28623265,3.6527286,0.94048095,7903,0.050425583502418235
9,choroid plexus epithelial cell,ENSG00000118997,130.25528,5.7917023,0.0,0.0,3.4158628,0.091444336,0.8932051,0.04969662,5.2232122,0.9340558,7903,0.050425583502418235
10,choroid plexus epithelial cell,ENSG00000188596,130.121,5.6005325,0.0,0.0,3.4260263,0.10614035,0.896495,0.055811267,5.012491,0.93360835,7903,0.050425583502418235
