rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,choroid plexus macrophage,ENSG00000129538,28.543045,7.3757005,3.426679036173088e-179,1.02649597207601e-174,71.033646,2.930039,0.9836601,0.14014831,4.5995107,0.97149247,306,0.0019524520500746527
2,choroid plexus macrophage,ENSG00000011600,28.36817,6.366955,4.996416076099523e-177,7.483631998781865e-173,16.160343,0.65057147,0.97712415,0.06809871,4.6346064,0.96860373,306,0.0019524520500746527
3,choroid plexus macrophage,ENSG00000165457,28.099909,6.489266,9.821311858607515e-174,9.806907267881558e-170,15.953805,0.6508486,0.96732026,0.060369518,4.6154346,0.9641724,306,0.0019524520500746527
4,choroid plexus macrophage,ENSG00000204472,27.883877,5.9641795,4.185533925010024e-171,3.1345463564400068e-167,18.848927,1.1180089,0.9738562,0.1389656,4.075479,0.96060383,306,0.0019524520500746527
5,choroid plexus macrophage,ENSG00000170458,27.86485,6.3713202,7.118425676664618e-171,4.264791191403306e-167,19.071375,1.0715073,0.9738562,0.06873162,4.153695,0.9602896,306,0.0019524520500746527
6,choroid plexus macrophage,ENSG00000135218,27.780075,5.85488,7.551577384000143e-170,3.770250868585138e-166,22.860577,1.2154154,0.9705882,0.1559775,4.2333403,0.95888925,306,0.0019524520500746527
7,choroid plexus macrophage,ENSG00000133800,27.56401,6.5655823,3.006384363273731e-167,1.2865607140889697e-163,22.527264,1.2307018,0.96405226,0.07130802,4.194119,0.9553201,306,0.0019524520500746527
8,choroid plexus macrophage,ENSG00000173372,27.494434,6.237377,2.0464168808319298e-166,7.66280801027516e-163,15.20677,0.75123894,0.9575163,0.0636939,4.3392982,0.9541708,306,0.0019524520500746527
9,choroid plexus macrophage,ENSG00000163106,27.482906,5.8717036,2.8104833675404773e-166,9.354537750893616e-163,9.832137,0.4662705,0.9575163,0.057415932,4.398266,0.9539804,306,0.0019524520500746527
10,choroid plexus macrophage,ENSG00000100600,27.373964,4.8617296,5.600563139404167e-165,1.677704694039912e-161,16.734047,1.361555,0.9738562,0.3112262,3.6194592,0.9521808,306,0.0019524520500746527
