rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,common myeloid progenitor,ENSG00000223609,7.533853,9.672064,4.9264569022149524e-14,1.475769429627511e-09,27.04933,0.058033213,1.0,0.018122993,8.864498,0.9989734,19,0.00012123068284777255
2,common myeloid progenitor,ENSG00000111348,7.354741,5.573955,1.9129753441569444e-13,2.865254470478271e-09,7.092551,0.33222452,1.0,0.109210186,4.4160743,0.98711073,19,0.00012123068284777255
3,common myeloid progenitor,ENSG00000136938,7.2391644,2.8286364,4.5145783267883747e-13,4.507956945242419e-09,10.357717,2.1412547,1.0,0.6665688,2.2741776,0.97945595,19,0.00012123068284777255
4,common myeloid progenitor,ENSG00000005249,7.1778226,4.7648754,7.083049817763162e-13,5.3044960085228315e-09,3.8406768,0.2169872,1.0,0.13863452,4.145679,0.97539324,19,0.00012123068284777255
5,common myeloid progenitor,ENSG00000135426,7.1449165,10.764308,9.005071325206176e-13,5.395118332357524e-09,2.1225696,0.0018928241,0.94736844,0.0010401577,10.131055,0.97321385,19,0.00012123068284777255
6,common myeloid progenitor,ENSG00000179348,7.063166,7.0374675,1.6275112096566156e-12,8.12562096607893e-09,5.3343773,0.06284353,0.94736844,0.0366863,6.407412,0.9677994,19,0.00012123068284777255
7,common myeloid progenitor,ENSG00000115956,7.0208354,6.5945177,2.205455378921596e-12,8.28865847864913e-09,8.164244,0.17640983,0.94736844,0.04724103,5.532316,0.96499586,19,0.00012123068284777255
8,common myeloid progenitor,ENSG00000021355,7.0203233,5.3936453,2.2135554756707517e-12,8.28865847864913e-09,10.454821,0.30373886,0.94736844,0.21177101,5.105193,0.96496195,19,0.00012123068284777255
9,common myeloid progenitor,ENSG00000149781,6.9349875,5.74528,4.062566795693364e-12,1.3522027881310045e-08,3.289686,0.09883128,0.94736844,0.04968508,5.0568385,0.95931005,19,0.00012123068284777255
10,common myeloid progenitor,ENSG00000109906,6.9110475,4.106268,4.810888611949926e-12,1.4411497925957198e-08,2.8429341,0.25606748,1.0,0.14788108,3.4727848,0.95772433,19,0.00012123068284777255
