rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,dendritic cell,ENSG00000019582,28.341902,8.580275,1.053283883925296e-176,3.155217202686616e-172,23.677084,0.11919203,0.9963235,0.048940904,7.63406,0.99651515,272,0.0017355129333996911
2,dendritic cell,ENSG00000204287,27.968021,10.501268,3.980472051775554e-172,5.961951039149424e-168,21.749023,0.037510756,0.9816176,0.00807266,9.179431,0.9899652,272,0.0017355129333996911
3,dendritic cell,ENSG00000101439,27.58555,4.190962,1.6587060306247128e-167,1.6562732617797967e-163,48.031284,4.0128045,1.0,0.6994963,3.5812917,0.9832648,272,0.0017355129333996911
4,dendritic cell,ENSG00000166710,27.464687,3.8424692,4.639345880071649e-166,3.474406129585658e-162,43.527554,5.463651,1.0,0.7314354,2.9939916,0.9811474,272,0.0017355129333996911
5,dendritic cell,ENSG00000231389,27.091175,9.190783,1.250994001017025e-161,7.4949552588932e-158,15.152911,0.035513893,0.9522059,0.021865852,8.736996,0.97460395,272,0.0017355129333996911
6,dendritic cell,ENSG00000204472,26.995161,6.2974935,1.6844541360488307e-160,8.409918016579796e-157,22.494398,1.1155224,0.9889706,0.13912076,4.3337746,0.9729219,272,0.0017355129333996911
7,dendritic cell,ENSG00000011600,26.77364,6.0539455,6.553221506648826e-158,2.804404335045318e-154,11.530472,0.66199166,0.99264705,0.06826927,4.1224947,0.9690411,272,0.0017355129333996911
8,dendritic cell,ENSG00000158869,26.684988,5.9251666,7.030622757410207e-157,2.632616691512252e-153,9.658475,0.50527126,0.9852941,0.06782185,4.256665,0.96748805,272,0.0017355129333996911
9,dendritic cell,ENSG00000111348,26.506721,5.2849226,8.10880654852752e-155,2.6989712107521157e-151,6.18526,0.32286912,0.9669118,0.107827224,4.259813,0.96436495,272,0.0017355129333996911
10,dendritic cell,ENSG00000196126,26.167889,7.1345963,6.168042495256681e-151,1.8476988098790914e-147,10.011088,0.10049523,0.93014705,0.042849656,6.638328,0.9584291,272,0.0017355129333996911
