rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,embryonic blood vessel endothelial progenitor cell,ENSG00000078596,44.40221,4.7740774,0.0,0.0,41.42401,4.0598245,0.9191402,0.44611523,3.350978,0.9113638,977,0.006233809323277567
2,embryonic blood vessel endothelial progenitor cell,ENSG00000102755,44.323578,5.6786876,0.0,0.0,9.827875,0.46495885,0.8659161,0.05764403,4.401705,0.9106352,977,0.006233809323277567
3,embryonic blood vessel endothelial progenitor cell,ENSG00000172889,42.668488,4.125925,0.0,0.0,10.287485,1.2124202,0.89559877,0.2593596,3.0849285,0.89530164,977,0.006233809323277567
4,embryonic blood vessel endothelial progenitor cell,ENSG00000064042,41.84197,4.6629515,0.0,0.0,6.6201816,0.43343818,0.84032756,0.12052084,3.9329727,0.8876444,977,0.006233809323277567
5,embryonic blood vessel endothelial progenitor cell,ENSG00000184113,41.266865,4.5961614,0.0,0.0,18.034756,2.3282077,0.8741044,0.20541383,2.953488,0.88231635,977,0.006233809323277567
6,embryonic blood vessel endothelial progenitor cell,ENSG00000085276,40.476112,4.3166814,0.0,0.0,7.5022593,0.671735,0.839304,0.1493236,3.4813612,0.8749904,977,0.006233809323277567
7,embryonic blood vessel endothelial progenitor cell,ENSG00000027075,39.491978,4.9052444,0.0,0.0,5.2289157,0.2728789,0.78403276,0.074754894,4.260179,0.8658729,977,0.006233809323277567
8,embryonic blood vessel endothelial progenitor cell,ENSG00000158321,38.926487,2.4445338,0.0,0.0,21.802914,5.173057,0.97134084,0.7000815,2.075432,0.8606339,977,0.006233809323277567
9,embryonic blood vessel endothelial progenitor cell,ENSG00000103257,37.642982,4.3622265,4.2616568342019e-310,1.4184688013927942e-306,6.123911,0.5027411,0.7727738,0.13252734,3.6065657,0.8487429,977,0.006233809323277567
10,embryonic blood vessel endothelial progenitor cell,ENSG00000128052,37.39984,4.70841,3.93063300241796e-306,1.177460422204324e-302,3.6735113,0.19304082,0.741044,0.08333922,4.2501817,0.8464903,977,0.006233809323277567
