rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,endothelial cell,ENSG00000064042,29.246855,5.064005,4.923350042447286e-188,1.4748387387155088e-183,8.381226,0.45115724,0.88834953,0.12299602,4.215459,0.916498,412,0.0026287916491201206
2,endothelial cell,ENSG00000027075,28.497643,5.2938023,1.252940189176279e-178,1.8766538153482304e-174,6.0969386,0.288505,0.85679615,0.07712681,4.401417,0.90582865,412,0.0026287916491201206
3,endothelial cell,ENSG00000164035,28.103931,4.2011137,8.770360368692138e-174,8.757497173484724e-170,10.827175,0.79729927,0.89320385,0.26034775,3.7633917,0.9002219,412,0.0026287916491201206
4,endothelial cell,ENSG00000003436,28.019459,4.0486054,9.414253365956397e-173,7.050334345764745e-169,11.826218,0.95487607,0.9053398,0.30967796,3.6305315,0.89901894,412,0.0026287916491201206
5,endothelial cell,ENSG00000018408,27.756647,3.3555334,1.4485750571251427e-169,8.678702882248155e-166,9.556011,1.3488859,0.934466,0.41438386,2.8246403,0.89527625,412,0.0026287916491201206
6,endothelial cell,ENSG00000137509,27.433754,3.5276513,1.0857156702393286e-165,5.420616436281555e-162,6.5972133,0.70066947,0.89320385,0.35232288,3.235051,0.89067805,412,0.0026287916491201206
7,endothelial cell,ENSG00000116016,27.204462,3.9503288,5.751672201761366e-163,2.4613870353709066e-159,4.431288,0.4590163,0.8713592,0.16773929,3.2711089,0.8874127,412,0.0026287916491201206
8,endothelial cell,ENSG00000172889,27.0588,4.0508575,3.0093128407860013e-161,1.1268371932323182e-157,10.070163,1.2457899,0.88106793,0.26169762,3.0149543,0.88533837,412,0.0026287916491201206
9,endothelial cell,ENSG00000102755,26.841484,5.0090632,1.0604340134702376e-158,3.5295957008349378e-155,5.8032913,0.5094094,0.8203884,0.06068554,3.5099738,0.88224363,412,0.0026287916491201206
10,endothelial cell,ENSG00000179776,26.825495,4.5957127,1.6295926784127155e-158,4.881607827453131e-155,3.4666336,0.2361491,0.81796116,0.09407347,3.8757653,0.8820159,412,0.0026287916491201206
