rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,endothelial cell of arteriole,ENSG00000102755,35.388714,7.3177795,2.5468567203121686e-274,7.629363991367132e-270,25.17992,0.45280135,0.98657715,0.060040057,5.7972517,0.9838848,447,0.0028521113280502277
2,endothelial cell of arteriole,ENSG00000184113,35.35953,6.5709195,7.156256790679688e-274,1.0718641421080035e-269,51.087482,2.2869267,0.9955257,0.20733432,4.4814878,0.98348576,447,0.0028521113280502277
3,endothelial cell of arteriole,ENSG00000103257,34.951336,6.281262,1.2357631916217919e-267,1.2339507389407467e-263,16.79755,0.4912751,0.9753915,0.13411911,5.095576,0.9779044,447,0.0028521113280502277
4,endothelial cell of arteriole,ENSG00000128567,34.50099,5.4034224,7.751399729516613e-261,5.805023257434991e-257,6.39186,0.23962392,0.97315437,0.1180005,4.737392,0.9717466,447,0.0028521113280502277
5,endothelial cell of arteriole,ENSG00000078596,34.00311,5.859694,2.0042497606064862e-253,1.200786116574558e-249,68.210106,4.1099257,0.9798658,0.44754574,4.052801,0.9649388,447,0.0028521113280502277
6,endothelial cell of arteriole,ENSG00000168389,33.970215,6.897172,6.13586117912307e-253,3.0634309580301787e-249,8.792436,0.14852028,0.9440716,0.04627621,5.8875313,0.96448904,447,0.0028521113280502277
7,endothelial cell of arteriole,ENSG00000149564,33.879776,5.7940764,1.3228887312294614e-251,5.66120783324425e-248,6.756354,0.27235135,0.9574944,0.069631875,4.632704,0.9632525,447,0.0028521113280502277
8,endothelial cell of arteriole,ENSG00000172889,33.758514,4.793675,8.018639021137111e-250,3.002579381464791e-246,13.39727,1.2342976,0.9888143,0.2612507,3.440177,0.9615944,447,0.0028521113280502277
9,endothelial cell of arteriole,ENSG00000162618,33.67633,6.0332494,1.2839928710879013e-248,4.273698938478797e-245,5.2845774,0.16179687,0.94630873,0.053250916,5.0295324,0.9604707,447,0.0028521113280502277
10,endothelial cell of arteriole,ENSG00000131477,33.544174,4.04301,1.094757608836269e-246,3.2794558930299273e-243,17.850767,1.8748237,0.97762865,0.45927477,3.2511592,0.9586637,447,0.0028521113280502277
