rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,endothelial cell of artery,ENSG00000185305,51.694828,5.414049,0.0,0.0,23.392017,0.7584161,0.96568626,0.30125365,4.9468827,0.9687871,1020,0.006508173500248842
2,endothelial cell of artery,ENSG00000184113,51.27581,6.284015,0.0,0.0,46.334396,2.1384866,0.96960783,0.20460355,4.4374213,0.9649873,1020,0.006508173500248842
3,endothelial cell of artery,ENSG00000085276,50.97028,5.86152,0.0,0.0,16.845276,0.608644,0.9578431,0.14835651,4.7906017,0.9622166,1020,0.006508173500248842
4,endothelial cell of artery,ENSG00000102755,49.84131,6.8450236,0.0,0.0,19.629189,0.39816624,0.9284314,0.05701129,5.6234856,0.9519787,1020,0.006508173500248842
5,endothelial cell of artery,ENSG00000046889,49.63883,5.88554,0.0,0.0,10.101787,0.21958555,0.92058825,0.12573697,5.5236835,0.9501425,1020,0.006508173500248842
6,endothelial cell of artery,ENSG00000179776,48.638035,5.8476276,0.0,0.0,7.1885915,0.19915323,0.9019608,0.090696566,5.1737585,0.941067,1020,0.006508173500248842
7,endothelial cell of artery,ENSG00000117394,48.413883,4.9546113,0.0,0.0,17.902046,1.1033628,0.93235296,0.26159558,4.0201454,0.9390343,1020,0.006508173500248842
8,endothelial cell of artery,ENSG00000146674,48.329453,7.0274544,0.0,0.0,21.973246,0.21145365,0.89509803,0.07882162,6.6992626,0.93826866,1020,0.006508173500248842
9,endothelial cell of artery,ENSG00000261371,48.271477,6.1101146,0.0,0.0,6.75566,0.17506748,0.8960784,0.058077402,5.2701135,0.9377429,1020,0.006508173500248842
10,endothelial cell of artery,ENSG00000162618,47.780384,6.2243185,0.0,0.0,5.980696,0.13838498,0.8862745,0.050357725,5.433554,0.93328947,1020,0.006508173500248842
