rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,epithelial cell,ENSG00000163132,71.284256,3.058448,0.0,0.0,17.28381,2.7755623,0.9454119,0.52154285,2.6385694,0.8802214,2986,0.019052358893865726
2,epithelial cell,ENSG00000178568,71.137115,4.077273,0.0,0.0,7.5529165,1.215819,0.8804421,0.13165735,2.6351054,0.8794366,2986,0.019052358893865726
3,epithelial cell,ENSG00000170558,70.77137,3.433485,0.0,0.0,4.8907347,0.8319904,0.90689886,0.21180564,2.5554123,0.87748575,2986,0.019052358893865726
4,epithelial cell,ENSG00000116729,70.36805,2.740655,0.0,0.0,8.126636,1.539037,0.93670464,0.5134773,2.4006302,0.87533444,2986,0.019052358893865726
5,epithelial cell,ENSG00000176956,69.86164,4.616466,0.0,0.0,4.511946,0.21586423,0.8070998,0.108091585,4.385554,0.8726334,2986,0.019052358893865726
6,epithelial cell,ENSG00000146242,68.549255,3.2903512,0.0,0.0,8.183858,1.1352544,0.89785665,0.3563549,2.8497655,0.86563325,2986,0.019052358893865726
7,epithelial cell,ENSG00000102109,67.3754,4.043772,0.0,0.0,7.009294,0.82195646,0.82886803,0.12822948,3.0921352,0.859372,2986,0.019052358893865726
8,epithelial cell,ENSG00000162599,66.345345,2.3383353,0.0,0.0,13.313215,4.210478,0.98359007,0.6435605,1.6608032,0.85387784,2986,0.019052358893865726
9,epithelial cell,ENSG00000162761,66.16624,4.3546576,0.0,0.0,2.8546307,0.21622773,0.76758206,0.077891245,3.7226808,0.85292256,2986,0.019052358893865726
10,epithelial cell,ENSG00000145147,65.82015,3.0510128,0.0,0.0,6.676831,1.6007823,0.9035499,0.2953493,2.0603864,0.8510765,2986,0.019052358893865726
