rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,erythroblast,ENSG00000130656,183.99739,8.591163,0.0,0.0,929.3489,9.789922,0.97869337,0.371254,6.568779,0.96779984,14174,0.09043808940443832
2,erythroblast,ENSG00000136732,183.61153,4.4673,0.0,0.0,33.553112,2.7786899,0.9871596,0.5717352,3.5939698,0.96681887,14174,0.09043808940443832
3,erythroblast,ENSG00000090013,178.35555,4.5963254,0.0,0.0,35.08805,4.391384,0.991181,0.5290771,2.9982321,0.9534559,14174,0.09043808940443832
4,erythroblast,ENSG00000147454,175.70178,4.669327,0.0,0.0,36.860264,4.297158,0.9927332,0.5002455,3.100612,0.94670886,14174,0.09043808940443832
5,erythroblast,ENSG00000169877,170.96605,5.6156707,0.0,0.0,34.18101,2.2739472,0.94482857,0.18137942,3.9099243,0.9346686,14174,0.09043808940443832
6,erythroblast,ENSG00000124098,165.72208,3.8295748,0.0,0.0,8.492082,1.1679561,0.9544236,0.33222264,2.8621323,0.92133623,14174,0.09043808940443832
7,erythroblast,ENSG00000239920,164.46179,7.471007,0.0,0.0,296.07776,7.136295,0.89798224,0.3393148,5.374657,0.918132,14174,0.09043808940443832
8,erythroblast,ENSG00000167815,163.59514,3.5698075,0.0,0.0,17.126772,1.7246928,0.9372795,0.54922414,3.311842,0.91592866,14174,0.09043808940443832
9,erythroblast,ENSG00000206177,163.15361,5.176368,0.0,0.0,35.847157,3.0046942,0.9338225,0.18814187,3.5765686,0.91480607,14174,0.09043808940443832
10,erythroblast,ENSG00000170180,162.35356,5.370842,0.0,0.0,10.054278,0.47587085,0.8739241,0.093257196,4.401096,0.912772,14174,0.09043808940443832
