rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,erythroid progenitor cell,ENSG00000167996,127.62538,3.2093751,0.0,0.0,352.54282,48.248367,0.99983877,0.9912771,2.8692465,0.977327,6203,0.039578627668670166
2,erythroid progenitor cell,ENSG00000142168,125.31351,3.627367,0.0,0.0,46.870388,4.2422323,0.9845236,0.8168187,3.4657812,0.96868044,6203,0.039578627668670166
3,erythroid progenitor cell,ENSG00000173812,124.47612,2.945839,0.0,0.0,75.38845,10.3827915,0.99677575,0.9269547,2.8601491,0.9655486,6203,0.039578627668670166
4,erythroid progenitor cell,ENSG00000087086,123.86614,4.1688523,0.0,0.0,419.00778,50.87784,0.99983877,0.9839626,3.0418677,0.96326727,6203,0.039578627668670166
5,erythroid progenitor cell,ENSG00000165502,123.31509,3.3669095,0.0,0.0,35.03965,3.7003925,0.98355633,0.7863383,3.2432382,0.9612062,6203,0.039578627668670166
6,erythroid progenitor cell,ENSG00000161011,117.898415,4.084444,0.0,0.0,26.418886,1.9482096,0.9477672,0.56716913,3.7613487,0.94094753,6203,0.039578627668670166
7,erythroid progenitor cell,ENSG00000116717,117.65343,5.6439395,0.0,0.0,41.715366,0.844899,0.9216508,0.3217847,5.625656,0.94003123,6203,0.039578627668670166
8,erythroid progenitor cell,ENSG00000140941,113.74487,3.4032881,0.0,0.0,18.802084,1.8478806,0.94276965,0.6504521,3.346949,0.925413,6203,0.039578627668670166
9,erythroid progenitor cell,ENSG00000197956,112.65627,4.4802513,0.0,0.0,63.569157,4.3103147,0.9413187,0.56162846,3.8824618,0.92134154,6203,0.039578627668670166
10,erythroid progenitor cell,ENSG00000185088,110.32146,4.0690455,0.0,0.0,42.821404,1.9598818,0.9192326,0.6183175,4.4494934,0.9126092,6203,0.039578627668670166
