rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,fibroblast,ENSG00000108821,87.48667,3.4788892,0.0,0.0,54.76831,11.166619,0.9970806,0.5653202,2.294149,0.8839595,4453,0.028412643722164798
2,fibroblast,ENSG00000138829,81.69393,2.8594668,0.0,0.0,12.024763,2.3092573,0.96159893,0.481149,2.3805077,0.8585365,4453,0.028412643722164798
3,fibroblast,ENSG00000168542,76.65219,2.9257333,0.0,0.0,35.123352,11.172179,0.9957332,0.58005685,1.65252,0.8364094,4453,0.028412643722164798
4,fibroblast,ENSG00000187720,75.53656,3.1330984,0.0,0.0,4.620293,0.71431154,0.8196721,0.24460016,2.693359,0.8315131,4453,0.028412643722164798
5,fibroblast,ENSG00000166482,75.337425,2.8461282,0.0,0.0,4.530217,0.8296587,0.86234,0.28741142,2.4489903,0.8306391,4453,0.028412643722164798
6,fibroblast,ENSG00000164692,73.40636,3.0114384,0.0,0.0,56.247517,17.378986,0.9966315,0.6434299,1.6944455,0.82216406,4453,0.028412643722164798
7,fibroblast,ENSG00000114861,70.61592,2.1299455,0.0,0.0,12.314147,3.7742367,0.9728273,0.65167826,1.7060599,0.8099175,4453,0.028412643722164798
8,fibroblast,ENSG00000112699,70.60744,2.0914261,0.0,0.0,8.5313225,3.3639183,0.9759713,0.5725703,1.3426268,0.8098802,4453,0.028412643722164798
9,fibroblast,ENSG00000139174,70.12454,2.4386735,0.0,0.0,6.486041,2.0071564,0.9115203,0.3891826,1.6921852,0.80776095,4453,0.028412643722164798
10,fibroblast,ENSG00000110651,68.91992,1.6889905,0.0,0.0,10.951782,4.9184747,0.97799236,0.71297604,1.1548828,0.80247414,4453,0.028412643722164798
