rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,fibroblast of choroid plexus,ENSG00000142089,90.311554,2.3102531,0.0,0.0,15.515394,4.971942,0.9704534,0.6642932,1.641819,0.8462979,5889,0.03757513112055434
2,fibroblast of choroid plexus,ENSG00000189129,87.7923,2.712428,0.0,0.0,8.425721,1.7451673,0.8916624,0.44633612,2.2714348,0.8366378,5889,0.03757513112055434
3,fibroblast of choroid plexus,ENSG00000118271,87.31557,3.5690012,0.0,0.0,63.313004,63.225483,0.9624724,0.54613256,0.0019956816,0.83480984,5889,0.03757513112055434
4,fibroblast of choroid plexus,ENSG00000110492,82.43432,2.1072567,0.0,0.0,20.17778,8.1510315,0.9850569,0.70011336,1.3077129,0.8160928,5889,0.03757513112055434
5,fibroblast of choroid plexus,ENSG00000077943,80.2589,2.9978838,0.0,0.0,7.7432804,1.2122132,0.78926814,0.31309295,2.6753016,0.80775124,5889,0.03757513112055434
6,fibroblast of choroid plexus,ENSG00000109472,79.787766,2.0474598,0.0,0.0,10.565377,3.8709722,0.9412464,0.6078018,1.4485765,0.8059446,5889,0.03757513112055434
7,fibroblast of choroid plexus,ENSG00000185070,75.701515,2.2713919,0.0,0.0,11.594291,4.4716654,0.941586,0.53341025,1.3745303,0.790276,5889,0.03757513112055434
8,fibroblast of choroid plexus,ENSG00000196569,75.357025,2.5912006,0.0,0.0,19.678297,7.79885,0.9543216,0.505917,1.3352721,0.7889551,5889,0.03757513112055434
9,fibroblast of choroid plexus,ENSG00000184226,75.30553,2.6148276,0.0,0.0,7.423942,1.580871,0.7977585,0.3747754,2.2314658,0.78875756,5889,0.03757513112055434
10,fibroblast of choroid plexus,ENSG00000139329,72.895744,2.5011427,0.0,0.0,21.878601,8.1622925,0.93802005,0.5224514,1.4224741,0.7795173,5889,0.03757513112055434
