rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,fibrocyte,ENSG00000173068,9.87548,3.2569041,5.31778698220727e-23,1.5929962683900098e-18,15.904614,3.6566415,0.9661017,0.421314,2.1208544,0.87121445,59,0.0003764531730536095
2,fibrocyte,ENSG00000152661,9.717538,3.077678,2.5384596356504365e-22,3.8021048422772235e-18,12.852309,3.0620399,0.9491525,0.45294797,2.0694625,0.86527765,59,0.0003764531730536095
3,fibrocyte,ENSG00000166426,9.145644,3.644296,5.927542804555655e-20,5.918849075108974e-16,15.923995,3.1999643,0.86440676,0.2917845,2.3150747,0.84378016,59,0.0003764531730536095
4,fibrocyte,ENSG00000170017,8.996753,3.0378616,2.324934032198232e-19,1.7411430967132558e-15,13.536604,3.6180687,0.91525424,0.42010123,1.9035742,0.83818346,59,0.0003764531730536095
5,fibrocyte,ENSG00000026025,8.635208,2.4152293,5.86200726545749e-18,3.512045792880891e-14,110.60914,43.454662,1.0,0.86787903,1.3478878,0.8245932,59,0.0003764531730536095
6,fibrocyte,ENSG00000151012,8.174307,2.8010983,2.975707490795505e-16,1.4856715599045027e-12,7.286113,1.8646193,0.84745765,0.29420364,1.9662683,0.80726796,59,0.0003764531730536095
7,fibrocyte,ENSG00000120885,8.0418415,2.4432993,8.84980995681685e-16,3.787212958091508e-12,13.92595,5.2345467,0.9322034,0.52669674,1.4116392,0.80228907,59,0.0003764531730536095
8,fibrocyte,ENSG00000061455,7.966918,2.808523,1.6268053831899081e-15,6.091572757354611e-12,3.219453,0.7840862,0.779661,0.18898684,2.0377314,0.7994724,59,0.0003764531730536095
9,fibrocyte,ENSG00000053438,7.8313184,2.234878,4.827804694078626e-15,1.4582193790126907e-11,10.6606,3.826722,0.9322034,0.53466266,1.4781076,0.79437524,59,0.0003764531730536095
10,fibrocyte,ENSG00000130203,7.8302794,2.4285536,4.867870807226235e-15,1.4582193790126907e-11,22.680498,9.953805,0.9830508,0.62048805,1.1881323,0.7943361,59,0.0003764531730536095
