rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,forebrain neuroblast,ENSG00000276644,14.875431,4.2605853,4.759079701743924e-50,1.4256299154544098e-45,13.277033,1.2800145,0.9326923,0.2906169,3.3747008,0.9212189,104,0.0006635784745351761
2,forebrain neuroblast,ENSG00000144485,14.721359,6.6422343,4.701184161955698e-49,5.766209787227009e-45,28.544798,0.52236074,0.86538464,0.10148,5.7720375,0.91685605,104,0.0006635784745351761
3,forebrain neuroblast,ENSG00000131711,14.707445,3.6806414,5.7746793168917835e-49,5.766209787227009e-45,24.225498,2.4225848,0.9423077,0.57025194,3.3219073,0.91646206,104,0.0006635784745351761
4,forebrain neuroblast,ENSG00000187323,14.375165,7.730445,7.409337352382769e-47,5.548852743199455e-43,26.98899,0.26199737,0.8269231,0.041475654,6.686675,0.9070531,104,0.0006635784745351761
5,forebrain neuroblast,ENSG00000053438,14.279447,4.079951,2.9392765355376073e-46,1.7609793579712914e-42,42.809547,3.8034039,0.9326923,0.53454816,3.4925697,0.9043427,104,0.0006635784745351761
6,forebrain neuroblast,ENSG00000167552,14.071678,3.0856984,5.670778192995462e-45,2.743358968375301e-41,71.09897,9.953938,0.99038464,0.81357026,2.8364894,0.8984597,104,0.0006635784745351761
7,forebrain neuroblast,ENSG00000176887,14.0630045,3.6147056,6.410573100089167e-45,2.743358968375301e-41,14.194626,1.6598393,0.91346157,0.4316188,3.0962293,0.89821386,104,0.0006635784745351761
8,forebrain neuroblast,ENSG00000196782,14.0366745,3.4615912,9.29745089387548e-45,3.481430487211673e-41,8.433597,1.0748621,0.90384614,0.36890092,2.9719963,0.89746803,104,0.0006635784745351761
9,forebrain neuroblast,ENSG00000162374,13.823428,6.0346904,1.8408967541619123e-43,6.127322574186027e-40,4.6900096,0.1459759,0.8076923,0.03359043,5.005789,0.89142984,104,0.0006635784745351761
10,forebrain neuroblast,ENSG00000078018,13.65847,4.089407,1.797209504697163e-42,5.383720792270821e-39,6.788987,0.57268655,0.8557692,0.21615738,3.5673788,0.8867589,104,0.0006635784745351761
