rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,forebrain radial glial cell,ENSG00000166165,35.381767,4.6016684,3.256944583680708e-274,9.756503194873928e-270,14.327861,1.0392358,0.9130435,0.2398801,3.7852283,0.91847533,598,0.0038155762285772624
2,forebrain radial glial cell,ENSG00000145147,35.148052,4.4909887,1.2448295560100738e-270,1.8645057089918884e-266,21.497467,1.6216364,0.9297659,0.3045514,3.7286444,0.9157111,598,0.0038155762285772624
3,forebrain radial glial cell,ENSG00000134532,34.87167,4.0869203,1.998929774634883e-266,1.9959980109654187e-262,9.726186,1.0076269,0.92474914,0.24747643,3.2709126,0.9124422,598,0.0038155762285772624
4,forebrain radial glial cell,ENSG00000218336,33.95127,4.1166215,1.1682611432424973e-252,8.749107701743062e-249,11.512165,0.945437,0.9013378,0.27987292,3.606034,0.9015562,598,0.0038155762285772624
5,forebrain radial glial cell,ENSG00000137285,30.889149,3.0359395,1.6707731803820437e-209,1.00099362783049e-205,9.169844,1.9807341,0.9130435,0.4046103,2.210862,0.86533916,598,0.0038155762285772624
6,forebrain radial glial cell,ENSG00000181449,30.791666,4.7769527,3.3881241460584055e-208,1.6915774486554267e-204,6.597162,0.36957943,0.78428096,0.10629099,4.157889,0.86418617,598,0.0038155762285772624
7,forebrain radial glial cell,ENSG00000170370,30.692766,5.36953,7.108402624217431e-207,3.0419901287293906e-203,5.2631907,0.15838926,0.7591973,0.0733885,5.0543914,0.8630165,598,0.0038155762285772624
8,forebrain radial glial cell,ENSG00000170558,30.570723,3.3826663,2.9996248019529546e-205,1.1232095070912838e-201,5.3006372,0.89249814,0.87123746,0.22257379,2.5702448,0.861573,598,0.0038155762285772624
9,forebrain radial glial cell,ENSG00000167552,30.067514,2.1199074,1.2889304513754172e-198,4.2901334001557776e-195,27.390875,9.927931,0.9765886,0.8130636,1.4641304,0.8556214,598,0.0038155762285772624
10,forebrain radial glial cell,ENSG00000106571,29.694773,3.2288806,8.969919778637115e-194,2.687029168888534e-190,7.179109,0.81251353,0.84782606,0.3633557,3.143341,0.85121274,598,0.0038155762285772624
