rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,glioblast (sensu Vertebrata),ENSG00000162599,32.44388,3.2541811,6.607984504246038e-231,1.9794878380919432e-226,26.126375,4.318942,0.9764454,0.6490634,2.5967572,0.9340434,467,0.0029797225731531462
2,glioblast (sensu Vertebrata),ENSG00000181449,31.508106,5.2362757,6.726956309042915e-218,1.0075635159684477e-213,7.8059225,0.3711875,0.88865095,0.10654746,4.394349,0.9215243,467,0.0029797225731531462
3,glioblast (sensu Vertebrata),ENSG00000151322,28.977224,3.5637484,1.2742883906763884e-184,1.272419434370063e-180,7.9956017,0.9837465,0.8907923,0.31277558,3.022848,0.88766545,467,0.0029797225731531462
4,glioblast (sensu Vertebrata),ENSG00000166165,28.117298,4.0660353,6.020191365135091e-174,4.50852131334967e-170,11.534484,1.0587256,0.86295503,0.24059415,3.4455528,0.8761612,467,0.0029797225731531462
5,glioblast (sensu Vertebrata),ENSG00000176771,27.256258,4.4055386,1.400972709446367e-163,8.393507696835074e-160,7.1226387,0.5114202,0.8029979,0.15149207,3.799831,0.86464185,467,0.0029797225731531462
6,glioblast (sensu Vertebrata),ENSG00000164199,26.437292,4.07701,5.1085350103301796e-154,2.5505212461575144e-150,5.7986255,0.5960937,0.7987152,0.13612016,3.2821,0.8536855,467,0.0029797225731531462
7,glioblast (sensu Vertebrata),ENSG00000169862,26.111351,4.5229583,2.7097053315873926e-150,1.1595990416147418e-146,6.9334483,0.40499824,0.7665953,0.12436403,4.0975857,0.849325,467,0.0029797225731531462
8,glioblast (sensu Vertebrata),ENSG00000167552,25.487469,2.1437922,2.714594486181737e-143,1.0164799053507514e-139,31.643326,9.929926,0.9721627,0.81321394,1.6720464,0.84097856,467,0.0029797225731531462
9,glioblast (sensu Vertebrata),ENSG00000147862,25.307526,2.4498107,2.639637460942026e-141,8.785886642219927e-138,12.143456,3.0190508,0.9357602,0.58340317,2.0080123,0.83857125,467,0.0029797225731531462
10,glioblast (sensu Vertebrata),ENSG00000167614,24.96624,5.0261803,1.4228746682808037e-137,4.2623633563019755e-134,10.529104,0.39514744,0.7216274,0.104729965,4.735848,0.83400536,467,0.0029797225731531462
