rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,innate lymphoid cell,ENSG00000169442,14.802964,11.248565,1.4016725511925312e-49,4.198850294352346e-45,18.388197,0.016589852,0.9506173,0.0060582845,10.114264,0.9749296,81,0.0005168255426668198
2,innate lymphoid cell,ENSG00000227507,14.609958,10.949547,2.4266920080328276e-48,3.634699289631569e-44,20.244015,0.013038323,0.9382716,0.010003511,10.600521,0.96873724,81,0.0005168255426668198
3,innate lymphoid cell,ENSG00000168685,14.234426,13.347516,5.602163916241837e-46,5.5939474091646826e-42,21.43397,0.0028288784,0.91358024,0.0013278432,12.887381,0.9566889,81,0.0005168255426668198
4,innate lymphoid cell,ENSG00000122862,13.884594,5.559485,7.854403369511814e-44,5.882162683427397e-40,12.308289,0.8583453,0.9506173,0.09776884,3.8419282,0.9454651,81,0.0005168255426668198
5,innate lymphoid cell,ENSG00000111348,13.477799,5.2747526,2.113168100822524e-41,1.2660412725647905e-37,6.9997764,0.32959634,0.90123457,0.108908676,4.408537,0.93241376,81,0.0005168255426668198
6,innate lymphoid cell,ENSG00000211751,13.464044,12.84288,2.5459243212889704e-41,1.27109514947554e-37,11.5505085,0.0026771482,0.86419755,0.0008554375,12.074971,0.93197244,81,0.0005168255426668198
7,innate lymphoid cell,ENSG00000081237,13.185707,5.6694155,1.0605513247702198e-39,4.538553640688101e-36,4.8050632,0.1568719,0.8765432,0.059350763,4.936897,0.9230424,81,0.0005168255426668198
8,innate lymphoid cell,ENSG00000100906,13.021194,5.044851,9.270894803106736e-39,3.471486559023317e-35,18.52033,0.7010796,0.8888889,0.25878897,4.7233877,0.91776437,81,0.0005168255426668198
9,innate lymphoid cell,ENSG00000136167,12.868229,5.835093,6.794193071722998e-38,2.261409418405935e-34,4.913261,0.15515731,0.8518519,0.04870248,4.984877,0.91285664,81,0.0005168255426668198
10,innate lymphoid cell,ENSG00000185760,12.749672,7.641621,3.130592259583019e-37,9.378002172806892e-34,10.494749,0.07683954,0.8271605,0.030080756,7.093603,0.90905297,81,0.0005168255426668198
