rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,leptomeningeal cell,ENSG00000196569,250.18094,4.077513,0.0,0.0,22.243082,3.564074,0.9882883,0.36708698,2.6417575,0.92096084,39277,0.2506093436953664
2,leptomeningeal cell,ENSG00000011465,246.23018,3.8258984,0.0,0.0,23.957317,4.261876,0.9879828,0.41321766,2.4909058,0.9143132,39277,0.2506093436953664
3,leptomeningeal cell,ENSG00000105894,242.87756,4.0677085,0.0,0.0,69.012024,14.777197,0.9954681,0.6042197,2.2234752,0.908672,39277,0.2506093436953664
4,leptomeningeal cell,ENSG00000158270,242.09547,3.2394333,0.0,0.0,16.905478,3.570467,0.9895868,0.5014091,2.2433062,0.907356,39277,0.2506093436953664
5,leptomeningeal cell,ENSG00000079215,239.31038,3.5764332,0.0,0.0,19.447918,3.791184,0.9901724,0.44236222,2.3588953,0.9026698,39277,0.2506093436953664
6,leptomeningeal cell,ENSG00000197321,232.36703,3.553165,0.0,0.0,16.941284,2.6125464,0.96005297,0.41893077,2.6970146,0.89098674,39277,0.2506093436953664
7,leptomeningeal cell,ENSG00000069667,229.58852,2.9900432,0.0,0.0,19.328312,4.2220783,0.9814141,0.5859735,2.1946905,0.8863115,39277,0.2506093436953664
8,leptomeningeal cell,ENSG00000181234,226.05359,3.3101707,0.0,0.0,12.327655,2.1097457,0.9582198,0.38375807,2.5467572,0.8803635,39277,0.2506093436953664
9,leptomeningeal cell,ENSG00000137962,222.64018,2.9680862,0.0,0.0,12.250561,3.1525068,0.9823306,0.46740288,1.9582764,0.8746201,39277,0.2506093436953664
10,leptomeningeal cell,ENSG00000157103,219.76865,3.5526032,0.0,0.0,5.5002623,0.80113125,0.87575424,0.20976764,2.7793899,0.86978835,39277,0.2506093436953664
