rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mechanoreceptor cell,ENSG00000173267,12.719597,9.388914,4.602294752991681e-37,2.000868248912144e-33,35.260254,0.120567165,1.0,0.056404464,8.192062,0.9997606,54,0.00034455036177787984
2,mechanoreceptor cell,ENSG00000277586,12.711967,9.662005,5.0741460705783876e-37,2.000868248912144e-33,39.07453,0.15097141,1.0,0.039764605,8.015809,0.9994609,54,0.00034455036177787984
3,mechanoreceptor cell,ENSG00000104722,12.705903,9.065992,5.483298878475265e-37,2.000868248912144e-33,32.491924,0.16079172,1.0,0.054885365,7.6587443,0.9992226,54,0.00034455036177787984
4,mechanoreceptor cell,ENSG00000135406,12.703694,10.058699,5.640272086855993e-37,2.000868248912144e-33,35.888535,0.14798813,1.0,0.020009957,7.921898,0.99913585,54,0.00034455036177787984
5,mechanoreceptor cell,ENSG00000079462,12.703159,4.731532,5.679007199878764e-37,2.000868248912144e-33,15.279727,0.9100011,1.0,0.43728298,4.069607,0.9991148,54,0.00034455036177787984
6,mechanoreceptor cell,ENSG00000101210,12.701285,8.674268,5.816673944141862e-37,2.000868248912144e-33,6.745176,0.032135453,1.0,0.015746273,7.7135463,0.99904114,54,0.00034455036177787984
7,mechanoreceptor cell,ENSG00000162188,12.697076,8.408743,6.1380221806449935e-37,2.000868248912144e-33,10.844446,0.075004905,1.0,0.02914369,7.1757555,0.9988758,54,0.00034455036177787984
8,mechanoreceptor cell,ENSG00000221946,12.691225,8.223979,6.614300900307561e-37,2.000868248912144e-33,5.393479,0.030429397,1.0,0.022658803,7.4696064,0.9986459,54,0.00034455036177787984
9,mechanoreceptor cell,ENSG00000139970,12.688783,7.4651194,6.823844446228937e-37,2.000868248912144e-33,26.00913,0.36856395,1.0,0.1208895,6.1409593,0.99854994,54,0.00034455036177787984
10,mechanoreceptor cell,ENSG00000221866,12.680486,7.38346,7.586068426724397e-37,2.000868248912144e-33,7.195792,0.08008555,1.0,0.044315513,6.4894676,0.99822396,54,0.00034455036177787984
