rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,megakaryocyte,ENSG00000150681,16.433344,10.547815,1.1040000237102537e-60,3.307142471026436e-56,17.53576,0.015966633,0.95,0.0080127185,10.101024,0.9745427,100,0.0006380562255145924
2,megakaryocyte,ENSG00000169756,16.339579,5.039591,5.16090082479523e-60,7.729997255378295e-56,27.926046,1.0499614,0.97,0.45025092,4.733203,0.971835,100,0.0006380562255145924
3,megakaryocyte,ENSG00000169704,16.270435,12.129624,1.6001788793146478e-59,1.5978319502916531e-55,17.374372,0.0049682534,0.94,0.0033391647,11.7719345,0.9698384,100,0.0006380562255145924
4,megakaryocyte,ENSG00000101162,16.120884,7.9811025,1.8198614182061333e-58,1.3628942160945732e-54,17.286665,0.07791855,0.94,0.035639036,7.793477,0.96551985,100,0.0006380562255145924
5,megakaryocyte,ENSG00000163736,16.086473,12.902142,3.174145385389955e-58,1.90169398329483e-54,122.86119,0.013850374,0.93,0.005407787,13.114817,0.9645262,100,0.0006380562255145924
6,megakaryocyte,ENSG00000154146,16.015528,8.651445,9.955721971537628e-58,4.9705601229896865e-54,26.013803,0.052005064,0.93,0.043121833,8.96641,0.9624775,100,0.0006380562255145924
7,megakaryocyte,ENSG00000162852,15.895797,5.9473405,6.776141902881463e-57,2.89980152632453e-53,15.959941,0.26264212,0.95,0.17626065,5.9252133,0.9590201,100,0.0006380562255145924
8,megakaryocyte,ENSG00000005961,15.678117,8.774898,2.134896477820832e-55,7.994119861200106e-52,17.03284,0.03247622,0.91,0.031425178,9.034719,0.9527342,100,0.0006380562255145924
9,megakaryocyte,ENSG00000163737,15.573712,13.074183,1.0984357139284724e-54,3.656082249604591e-51,78.75757,0.008636256,0.9,0.0034413189,13.154725,0.94971925,100,0.0006380562255145924
10,megakaryocyte,ENSG00000122643,15.521077,4.5793657,2.4982226307659154e-54,7.483675712722377e-51,11.940571,0.5304112,0.94,0.31248325,4.4926167,0.9481993,100,0.0006380562255145924
