rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,meningeal macrophage,ENSG00000118785,53.961266,8.750021,0.0,0.0,241.4464,8.096909,0.99903756,0.23503569,4.898188,0.98487467,1039,0.0066294041830966145
2,meningeal macrophage,ENSG00000100600,53.884117,5.7915087,0.0,0.0,24.931395,1.234469,0.99903756,0.30793837,4.336001,0.9841814,1039,0.0066294041830966145
3,meningeal macrophage,ENSG00000250722,53.863304,4.544829,0.0,0.0,38.230637,2.9446027,0.99807507,0.57316923,3.6985843,0.9839944,1039,0.0066294041830966145
4,meningeal macrophage,ENSG00000165457,53.50102,6.9050922,0.0,0.0,15.861417,0.57941735,0.99326277,0.055926315,4.774775,0.98073906,1039,0.0066294041830966145
5,meningeal macrophage,ENSG00000129226,53.425007,6.4072104,0.0,0.0,8.393505,0.2814756,0.9884504,0.054500375,4.8981915,0.980056,1039,0.0066294041830966145
6,meningeal macrophage,ENSG00000110079,53.41378,6.4372396,0.0,0.0,8.588038,0.30873695,0.9923003,0.04758907,4.7978787,0.97995514,1039,0.0066294041830966145
7,meningeal macrophage,ENSG00000111885,53.371033,4.765681,0.0,0.0,23.573248,1.773172,0.99903756,0.41786405,3.7327461,0.97957104,1039,0.0066294041830966145
8,meningeal macrophage,ENSG00000135838,53.291496,5.2316647,0.0,0.0,9.903675,0.59251374,0.99807507,0.15676968,4.0630436,0.9788564,1039,0.0066294041830966145
9,meningeal macrophage,ENSG00000104763,53.226913,4.0931826,0.0,0.0,10.589601,0.9796889,0.9942252,0.42388254,3.4341807,0.978276,1039,0.0066294041830966145
10,meningeal macrophage,ENSG00000181804,53.22181,5.209989,0.0,0.0,12.69159,0.7982514,0.99903756,0.22238208,3.990886,0.9782302,1039,0.0066294041830966145
