rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mesenchymal cell,ENSG00000114391,147.03911,1.4956763,0.0,0.0,40.15522,19.536356,0.99672806,0.9046696,1.0394261,0.8411099,17421,0.11115577504689714
2,mesenchymal cell,ENSG00000139174,142.17749,2.7925978,0.0,0.0,6.6292605,1.5723228,0.88496643,0.34387854,2.0759504,0.82983154,17421,0.11115577504689714
3,mesenchymal cell,ENSG00000156482,141.4159,1.3649437,0.0,0.0,43.836586,22.110651,0.9973595,0.92984456,0.987394,0.8280648,17421,0.11115577504689714
4,mesenchymal cell,ENSG00000148303,141.23666,1.4008988,0.0,0.0,46.38327,24.494978,0.9969003,0.9147554,0.9211185,0.827649,17421,0.11115577504689714
5,mesenchymal cell,ENSG00000198034,133.73802,1.382197,0.0,0.0,46.937473,25.326927,0.9973595,0.916026,0.8900681,0.8102532,17421,0.11115577504689714
6,mesenchymal cell,ENSG00000026025,133.54575,2.3862028,0.0,0.0,89.006485,37.785683,0.99896675,0.8515416,1.2360708,0.8098072,17421,0.11115577504689714
7,mesenchymal cell,ENSG00000163191,133.34427,2.2323515,0.0,0.0,15.519677,5.900956,0.97652256,0.622239,1.395078,0.80933976,17421,0.11115577504689714
8,mesenchymal cell,ENSG00000251562,132.56575,1.7915678,0.0,0.0,421.2954,196.66472,1.0,0.9590754,1.099094,0.80753374,17421,0.11115577504689714
9,mesenchymal cell,ENSG00000188846,132.42897,1.3174113,0.0,0.0,27.203281,14.53712,0.9957523,0.8865152,0.9040392,0.8072164,17421,0.11115577504689714
10,mesenchymal cell,ENSG00000142676,131.69246,1.2533717,0.0,0.0,50.82378,28.329725,0.99908155,0.9339148,0.8431871,0.80550784,17421,0.11115577504689714
