rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mesenchyme condensation cell,ENSG00000109193,71.94665,4.7882075,0.0,0.0,16.157377,1.8060683,0.96933043,0.19314685,3.1612687,0.9348878,2315,0.014771001620662813
2,mesenchyme condensation cell,ENSG00000108821,70.49802,3.6048048,0.0,0.0,49.281807,11.852595,1.0,0.5712546,2.0558522,0.9261314,2315,0.014771001620662813
3,mesenchyme condensation cell,ENSG00000170017,70.36955,3.9724245,0.0,0.0,20.489637,3.3688898,0.9861771,0.41180357,2.6045492,0.9253549,2315,0.014771001620662813
4,mesenchyme condensation cell,ENSG00000164692,69.706276,3.4212868,0.0,0.0,62.700756,17.820385,1.0,0.6482699,1.8149543,0.9213457,2315,0.014771001620662813
5,mesenchyme condensation cell,ENSG00000184347,68.85023,4.6642947,0.0,0.0,5.7993703,0.37704575,0.89719224,0.13166808,3.9430847,0.9161712,2315,0.014771001620662813
6,mesenchyme condensation cell,ENSG00000122786,68.40799,2.8370926,0.0,0.0,17.377,4.465178,0.99438447,0.624962,1.9603895,0.9134981,2315,0.014771001620662813
7,mesenchyme condensation cell,ENSG00000115461,68.32224,4.197131,0.0,0.0,11.081176,1.3426144,0.93520516,0.24743703,3.044994,0.9129798,2315,0.014771001620662813
8,mesenchyme condensation cell,ENSG00000128573,68.21287,3.145663,0.0,0.0,12.122475,2.2173944,0.98444927,0.49550226,2.450747,0.91231865,2315,0.014771001620662813
9,mesenchyme condensation cell,ENSG00000139174,67.49663,3.4595654,0.0,0.0,11.87041,1.988457,0.9654428,0.39560652,2.5776484,0.90798926,2315,0.014771001620662813
10,mesenchyme condensation cell,ENSG00000100097,66.20362,3.141899,0.0,0.0,42.761982,12.379665,0.99438447,0.6524859,1.7883564,0.90017354,2315,0.014771001620662813
