rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mesothelial cell of dura mater,ENSG00000142494,56.93844,7.676687,0.0,0.0,5.956539,0.045049068,0.9910635,0.029381711,7.046833,0.9931252,1119,0.007139849163508289
2,mesothelial cell of dura mater,ENSG00000155850,56.54575,6.18426,0.0,0.0,11.142278,0.21495508,0.9910635,0.14061707,5.695865,0.9897243,1119,0.007139849163508289
3,mesothelial cell of dura mater,ENSG00000080493,56.43097,6.2935777,0.0,0.0,20.50887,0.6781592,0.99731904,0.15432468,4.9184804,0.9887302,1119,0.007139849163508289
4,mesothelial cell of dura mater,ENSG00000114861,55.86591,3.7550335,0.0,0.0,30.12498,3.8291116,1.0,0.6583637,2.9758787,0.9838364,1119,0.007139849163508289
5,mesothelial cell of dura mater,ENSG00000127951,55.531586,6.4040055,0.0,0.0,3.8693082,0.075751066,0.9785523,0.04066655,5.6746655,0.98094094,1119,0.007139849163508289
6,mesothelial cell of dura mater,ENSG00000178031,55.295795,5.9310465,0.0,0.0,5.688328,0.17363927,0.9839142,0.06797895,5.0338397,0.9788988,1119,0.007139849163508289
7,mesothelial cell of dura mater,ENSG00000165474,55.208958,6.2151794,0.0,0.0,10.463879,0.32673588,0.98480785,0.07702738,5.001149,0.9781468,1119,0.007139849163508289
8,mesothelial cell of dura mater,ENSG00000156113,55.010258,7.464649,0.0,0.0,12.846132,0.10950645,0.9642538,0.048744593,6.8741746,0.9764259,1119,0.007139849163508289
9,mesothelial cell of dura mater,ENSG00000180447,54.553276,4.3521776,0.0,0.0,8.780825,0.7104577,0.9901698,0.28740352,3.6275358,0.97246814,1119,0.007139849163508289
10,mesothelial cell of dura mater,ENSG00000102804,54.485718,3.3679492,0.0,0.0,22.437286,3.1339388,0.9919571,0.676512,2.8398492,0.971883,1119,0.007139849163508289
