rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,metamyelocyte,ENSG00000143546,24.839954,15.064708,3.320212940326327e-136,8.077997157120449e-132,386.26,0.051142093,1.0,0.0055008945,12.882773,0.99993503,206,0.0013143958245600603
2,metamyelocyte,ENSG00000090382,24.82045,11.629575,5.393241525651255e-136,8.077997157120449e-132,120.31515,0.17116325,1.0,0.027127523,9.45723,0.9995425,206,0.0013143958245600603
3,metamyelocyte,ENSG00000163220,24.707844,10.839263,8.807970841333063e-135,8.795052484099109e-131,161.98824,0.15197927,0.9951456,0.036385126,10.057798,0.9972761,206,0.0013143958245600603
4,metamyelocyte,ENSG00000163563,24.444399,9.163854,5.772108862260148e-132,4.322732326946624e-128,22.626558,0.07360808,0.9854369,0.028552262,8.263937,0.991974,206,0.0013143958245600603
5,metamyelocyte,ENSG00000122862,23.045061,6.370648,1.648566913269384e-117,9.876894090779535e-114,23.473352,0.8345068,0.9660194,0.09706747,4.8139563,0.9638105,206,0.0013143958245600603
6,metamyelocyte,ENSG00000085265,22.903563,12.375483,4.2815036807565905e-116,2.137612071012407e-112,14.690656,0.0061423085,0.9223301,0.0015397393,11.22383,0.9609627,206,0.0013143958245600603
7,metamyelocyte,ENSG00000011600,22.751562,6.483088,1.3847867294645055e-114,5.926095895405532e-111,18.044077,0.65800166,0.9514563,0.06871326,4.7772903,0.95790356,206,0.0013143958245600603
8,metamyelocyte,ENSG00000158869,22.576164,6.215349,7.432523053850356e-113,2.7831082575142655e-109,12.71468,0.50510776,0.9466019,0.06825965,4.65376,0.9543734,206,0.0013143958245600603
9,metamyelocyte,ENSG00000136167,22.54136,6.7480674,1.6322120883569863e-112,5.432727257646876e-109,9.439646,0.14540027,0.9223301,0.04796831,6.020631,0.95367295,206,0.0013143958245600603
10,metamyelocyte,ENSG00000196154,22.151255,5.568378,1.014530551479806e-108,3.039127720012907e-105,33.59619,1.5687547,0.93203884,0.30028751,4.420606,0.9458215,206,0.0013143958245600603
