rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,microglial cell,ENSG00000159189,33.88036,6.909583,1.2968456811029997e-251,3.8848309223121456e-247,20.26223,0.63411385,0.98122066,0.05667946,4.997907,0.9745096,426,0.0027181195206921636
2,microglial cell,ENSG00000011600,33.649235,6.425625,3.1993921304640606e-248,4.7920495330090695e-244,14.938977,0.64199317,0.9835681,0.06738324,4.5403795,0.97127265,426,0.0027181195206921636
3,microglial cell,ENSG00000204472,33.180458,6.183502,2.0604630106293246e-241,2.0574409982137351e-237,21.71741,1.096581,0.97417843,0.13832374,4.307768,0.9647072,426,0.0027181195206921636
4,microglial cell,ENSG00000166710,33.05228,3.3903613,1.442573374348623e-239,1.0803432000496837e-235,31.78095,5.458147,0.9976526,0.7311772,2.5416791,0.962912,426,0.0027181195206921636
5,microglial cell,ENSG00000118785,32.712772,7.291362,1.028134107585521e-234,6.159757065366374e-231,161.93755,9.228792,0.97417843,0.23809981,4.133152,0.958157,426,0.0027181195206921636
6,microglial cell,ENSG00000136156,32.568615,2.825172,1.1414251539487551e-232,5.698755318614819e-229,29.41844,5.6660457,1.0,0.80701214,2.3763068,0.956138,426,0.0027181195206921636
7,microglial cell,ENSG00000148908,31.812746,4.4712653,4.3138729136771035e-222,1.8460911000301616e-218,11.785504,1.2125795,0.97652584,0.2271785,3.2808623,0.94555175,426,0.0027181195206921636
8,microglial cell,ENSG00000173369,31.547197,5.9968247,1.958991439291134e-218,7.335443444425651e-215,9.91246,0.45044616,0.92723006,0.054369804,4.4598165,0.9418326,426,0.0027181195206921636
9,microglial cell,ENSG00000128512,31.16204,4.368274,3.484088452990654e-213,1.1596594855309782e-209,15.812572,1.0584004,0.9507042,0.34647474,3.9011145,0.9364384,426,0.0027181195206921636
10,microglial cell,ENSG00000026297,31.1056,4.741891,2.0230960743474202e-212,6.060386600315132e-209,6.646249,0.31251478,0.92253524,0.18476647,4.410544,0.9356479,426,0.0027181195206921636
