rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,monocyte,ENSG00000204472,51.19351,6.8593087,0.0,0.0,31.842613,0.9662595,0.987315,0.13545385,5.042404,0.98194194,946,0.006036011893368044
2,monocyte,ENSG00000011600,49.642387,6.479587,0.0,0.0,14.820871,0.5949854,0.9714588,0.06439851,4.6386323,0.9673395,946,0.006036011893368044
3,monocyte,ENSG00000166710,49.07668,3.4502358,0.0,0.0,33.38187,5.360566,0.9936575,0.730312,2.6386075,0.9620139,946,0.006036011893368044
4,monocyte,ENSG00000135218,48.420666,5.621054,0.0,0.0,17.436441,1.1594284,0.9693446,0.15263833,3.91062,0.95583814,946,0.006036011893368044
5,monocyte,ENSG00000159189,48.219433,6.721912,0.0,0.0,17.021597,0.5882742,0.9397463,0.053845167,4.854734,0.95394367,946,0.006036011893368044
6,monocyte,ENSG00000158869,48.163254,6.082867,0.0,0.0,10.568161,0.46014428,0.94820297,0.06407755,4.5214944,0.9534148,946,0.006036011893368044
7,monocyte,ENSG00000111229,47.654022,2.815472,0.0,0.0,13.5724,2.5430949,0.97885835,0.70426244,2.4160187,0.9486208,946,0.006036011893368044
8,monocyte,ENSG00000101439,47.292973,3.3633358,0.0,0.0,27.777855,3.9453692,0.9852008,0.69828606,2.815703,0.94522184,946,0.006036011893368044
9,monocyte,ENSG00000260314,47.225697,6.11079,0.0,0.0,11.31119,0.59142536,0.93657506,0.06033509,4.2574105,0.94458854,946,0.006036011893368044
10,monocyte,ENSG00000129538,46.87222,6.9185815,0.0,0.0,59.14897,2.7224152,0.9334038,0.13698806,4.4413943,0.9412609,946,0.006036011893368044
