rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,mucosa-associated lymphoid tissue macrophage,ENSG00000133800,115.61575,8.4963255,0.0,0.0,29.63068,0.38305518,0.99223506,0.044228453,6.2733955,0.9910218,4765,0.030403379145770324
2,mucosa-associated lymphoid tissue macrophage,ENSG00000135218,114.61907,6.6368876,0.0,0.0,22.980259,0.5765257,0.9913956,0.13142188,5.3168664,0.98678887,4765,0.030403379145770324
3,mucosa-associated lymphoid tissue macrophage,ENSG00000260314,114.551,7.8229165,0.0,0.0,14.736201,0.21462302,0.986149,0.036759432,6.101416,0.9864998,4765,0.030403379145770324
4,mucosa-associated lymphoid tissue macrophage,ENSG00000129538,114.52472,8.112571,0.0,0.0,63.034267,1.1825048,0.9901364,0.11519403,5.7362185,0.9863882,4765,0.030403379145770324
5,mucosa-associated lymphoid tissue macrophage,ENSG00000170458,114.46151,8.145554,0.0,0.0,24.916033,0.36006743,0.98530954,0.04181336,6.1126633,0.98611975,4765,0.030403379145770324
6,mucosa-associated lymphoid tissue macrophage,ENSG00000104870,114.35532,4.5302362,0.0,0.0,23.016777,1.7364198,0.99244493,0.47930062,3.7284982,0.9856687,4765,0.030403379145770324
7,mucosa-associated lymphoid tissue macrophage,ENSG00000173372,114.28974,7.888572,0.0,0.0,17.28919,0.26177123,0.9834208,0.03665414,6.0454197,0.98539025,4765,0.030403379145770324
8,mucosa-associated lymphoid tissue macrophage,ENSG00000165457,114.07067,7.797329,0.0,0.0,14.496124,0.2475212,0.9840504,0.033232212,5.871971,0.9844598,4765,0.030403379145770324
9,mucosa-associated lymphoid tissue macrophage,ENSG00000100600,113.51488,5.778556,0.0,0.0,21.693005,0.7549791,0.98656875,0.29138398,4.8446493,0.98209935,4765,0.030403379145770324
10,mucosa-associated lymphoid tissue macrophage,ENSG00000181804,112.80799,5.48839,0.0,0.0,12.943565,0.49872848,0.9842602,0.20380229,4.697837,0.9790972,4765,0.030403379145770324
