rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,natural killer cell,ENSG00000105374,16.336838,12.953165,5.398128300841989e-60,1.617063313800226e-55,37.806133,0.008484071,0.97849464,0.003990219,12.121576,0.98917717,93,0.0005933922897285709
2,natural killer cell,ENSG00000166710,15.477316,3.9185286,4.936450267388579e-54,7.393815210494614e-50,53.419247,5.501288,0.9892473,0.73174876,3.2795184,0.96344024,93,0.0005933922897285709
3,natural killer cell,ENSG00000081237,15.216869,6.6860476,2.7329878625523385e-52,2.7289794803539285e-48,9.219524,0.15389463,0.9247312,0.05925954,5.9046774,0.95564175,93,0.0005933922897285709
4,natural killer cell,ENSG00000145649,15.016419,8.610274,5.732136350329021e-51,4.2927969127614032e-47,12.720901,0.04961723,0.9032258,0.023475258,8.002144,0.9496396,93,0.0005933922897285709
5,natural killer cell,ENSG00000111796,14.888798,11.421543,3.8971511122216975e-50,2.3348611743542634e-46,16.700735,0.009548443,0.8924731,0.004130675,10.772358,0.9458182,93,0.0005933922897285709
6,natural killer cell,ENSG00000198821,14.869117,9.77048,5.229898882017733e-50,2.61111418182872e-46,8.384455,0.015368634,0.8924731,0.0064865,9.091584,0.9452289,93,0.0005933922897285709
7,natural killer cell,ENSG00000122862,14.803426,5.8152113,1.3920873872667088e-49,5.957338538994504e-46,14.619713,0.8560941,0.9354839,0.09771249,4.094002,0.943262,93,0.0005933922897285709
8,natural killer cell,ENSG00000110848,14.674078,9.75479,9.449087260562639e-49,3.53821072471768e-45,20.898378,0.035950508,0.8817204,0.0111534605,9.183163,0.9393888,93,0.0005933922897285709
9,natural killer cell,ENSG00000007264,14.312108,8.495061,1.8385355374523016e-46,6.119463395546795e-43,5.0597105,0.0175466,0.86021507,0.01357313,8.17172,0.9285503,93,0.0005933922897285709
10,natural killer cell,ENSG00000172543,14.17765,11.834128,1.2599395707893099e-45,3.774274978256457e-42,7.2216578,0.0026148888,0.8494624,0.0015897034,11.431364,0.9245242,93,0.0005933922897285709
