rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,neural crest cell,ENSG00000187514,30.170633,3.004434,5.752880885881585e-200,1.7233329981746872e-195,81.38026,16.042704,0.99706745,0.8745596,2.3427615,0.9721619,341,0.0021757717290047597
2,neural crest cell,ENSG00000144485,29.741104,6.4144826,2.2601102789337058e-194,3.385193175786904e-190,13.4907,0.5127216,0.95894426,0.100118294,4.7176456,0.9654399,341,0.0021757717290047597
3,neural crest cell,ENSG00000148303,29.12334,2.008084,1.8182044657435153e-186,1.815537765860425e-182,77.82773,26.816755,0.99120235,0.9237395,1.5371495,0.95577204,341,0.0021757717290047597
4,neural crest cell,ENSG00000122406,29.024096,2.4116905,3.267702269826481e-185,2.4471822298730517e-181,75.48774,20.585613,0.98533726,0.89767563,1.8746059,0.95421886,341,0.0021757717290047597
5,neural crest cell,ENSG00000145425,28.912046,2.1085598,8.425069910192405e-184,5.047627884594474e-180,78.62131,25.908588,0.9941349,0.92194265,1.6014899,0.95246536,341,0.0021757717290047597
6,neural crest cell,ENSG00000171863,28.897652,2.1842937,1.2778903923510596e-183,6.380080765544724e-180,75.275475,23.198662,0.9941349,0.9118266,1.6981382,0.9522401,341,0.0021757717290047597
7,neural crest cell,ENSG00000138326,28.802872,1.8485578,1.974474773600461e-182,8.449623759710773e-179,70.73639,25.614351,0.99120235,0.9385683,1.4655002,0.95075685,341,0.0021757717290047597
8,neural crest cell,ENSG00000064655,28.43645,5.02563,7.168094201367948e-178,2.684092873702228e-174,6.6670456,0.302627,0.9296188,0.14243054,4.461435,0.94502246,341,0.0021757717290047597
9,neural crest cell,ENSG00000142676,28.422552,1.8329418,1.0646174647219833e-177,3.5435200859124146e-174,82.1264,30.718464,0.99120235,0.94104934,1.41874,0.9448047,341,0.0021757717290047597
10,neural crest cell,ENSG00000089009,28.30945,2.1396923,2.643949755642643e-176,7.920215888003101e-173,51.375786,17.38356,0.99706745,0.8790549,1.563365,0.94303495,341,0.0021757717290047597
