rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,neural progenitor cell,ENSG00000178568,92.83455,5.145629,0.0,0.0,13.060867,1.0340564,0.9355657,0.1255498,3.658864,0.9323084,3942,0.025152176409785232
2,neural progenitor cell,ENSG00000179603,90.537445,4.9317575,0.0,0.0,10.834971,0.7726674,0.9127346,0.1415986,3.809704,0.92161137,3942,0.025152176409785232
3,neural progenitor cell,ENSG00000083067,89.12475,4.9699693,0.0,0.0,32.546257,3.7931216,0.94393706,0.25243482,3.1010342,0.91503274,3942,0.025152176409785232
4,neural progenitor cell,ENSG00000170558,86.47704,3.8668149,0.0,0.0,6.177863,0.7733827,0.9145104,0.20725992,2.9978535,0.90270305,3942,0.025152176409785232
5,neural progenitor cell,ENSG00000168702,82.29565,3.8305473,0.0,0.0,12.131209,1.6383198,0.9038559,0.26968792,2.8884344,0.8832312,3942,0.025152176409785232
6,neural progenitor cell,ENSG00000146242,82.01752,3.614679,0.0,0.0,9.267707,1.0631853,0.88609844,0.35326996,3.1238194,0.881936,3942,0.025152176409785232
7,neural progenitor cell,ENSG00000162599,81.35991,2.5876298,0.0,0.0,15.891422,4.087041,0.9791984,0.64154625,1.9591197,0.8788737,3942,0.025152176409785232
8,neural progenitor cell,ENSG00000145934,80.342476,4.1177807,0.0,0.0,8.685204,0.772381,0.8462709,0.20481202,3.491175,0.8741358,3942,0.025152176409785232
9,neural progenitor cell,ENSG00000129596,79.80002,3.5858676,0.0,0.0,4.355286,0.49023566,0.8498224,0.21881218,3.1512203,0.8716096,3942,0.025152176409785232
10,neural progenitor cell,ENSG00000145147,78.83647,3.3248284,0.0,0.0,7.997671,1.5349393,0.90816844,0.29142448,2.3813984,0.86712265,3942,0.025152176409785232
