rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,neuroblast (sensu Vertebrata),ENSG00000167552,71.03117,4.0191374,0.0,0.0,98.69412,8.9275465,0.9983897,0.8114656,3.4666286,0.9779143,1863,0.011886987481336856
2,neuroblast (sensu Vertebrata),ENSG00000117632,70.03382,3.1463351,0.0,0.0,47.398357,8.78759,0.9951691,0.7951867,2.4312975,0.9712038,1863,0.011886987481336856
3,neuroblast (sensu Vertebrata),ENSG00000176788,69.64941,4.400834,0.0,0.0,46.840313,3.185095,0.98013955,0.6068138,3.8783424,0.96861744,1863,0.011886987481336856
4,neuroblast (sensu Vertebrata),ENSG00000187514,68.78946,2.8256893,0.0,0.0,72.18682,15.51097,0.99624264,0.87336546,2.2184467,0.9628315,1863,0.011886987481336856
5,neuroblast (sensu Vertebrata),ENSG00000144834,68.25119,7.17473,0.0,0.0,10.297728,0.13526699,0.93022007,0.04616984,6.2503724,0.95920986,1863,0.011886987481336856
6,neuroblast (sensu Vertebrata),ENSG00000189159,66.76603,3.1577342,0.0,0.0,18.723152,2.943503,0.9812131,0.6976166,2.6692173,0.94921744,1863,0.011886987481336856
7,neuroblast (sensu Vertebrata),ENSG00000176887,64.93833,4.058872,0.0,0.0,16.817371,1.4859003,0.962963,0.4255503,3.5005429,0.93692017,1863,0.011886987481336856
8,neuroblast (sensu Vertebrata),ENSG00000179915,64.77024,6.7006655,0.0,0.0,13.369393,0.3365237,0.89479333,0.056688815,5.3120823,0.9357893,1863,0.011886987481336856
9,neuroblast (sensu Vertebrata),ENSG00000162374,63.588924,7.4330816,0.0,0.0,6.898605,0.06779342,0.8647343,0.024111634,6.6690154,0.92784107,1863,0.011886987481336856
10,neuroblast (sensu Vertebrata),ENSG00000137285,62.23574,3.906635,0.0,0.0,16.918026,1.8288077,0.949007,0.40002453,3.209586,0.9187366,1863,0.011886987481336856
