rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,neuron,ENSG00000124766,37.363873,3.9638093,1.5095282960953658e-305,4.521942963783277e-301,49.896687,4.6196456,0.96943974,0.6507426,3.43309,0.94526917,589,0.003758151168280949
2,neuron,ENSG00000167552,36.889744,3.4807394,6.748470124372805e-298,1.0107858552285586e-293,77.959694,9.738184,0.9847199,0.8130424,3.0010037,0.9396188,589,0.003758151168280949
3,neuron,ENSG00000144485,36.594265,7.092928,3.528630600737317e-293,3.5234552758562356e-289,29.430586,0.43197736,0.89643466,0.098989986,6.0902166,0.9360976,589,0.003758151168280949
4,neuron,ENSG00000125462,35.720608,6.796404,1.892628003314231e-279,1.4173891116820274e-275,11.461444,0.22083513,0.87096775,0.041226614,5.697675,0.9256862,589,0.003758151168280949
5,neuron,ENSG00000189159,34.392918,2.9294703,3.217515094559186e-259,1.9276776434522997e-255,18.94017,3.071455,0.9439728,0.7000711,2.6244552,0.9098639,589,0.003758151168280949
6,neuron,ENSG00000187514,32.971603,2.266323,2.0741187394000738e-238,1.0355383492911435e-234,56.508976,16.032644,0.9830221,0.87441796,1.8174677,0.89292616,589,0.003758151168280949
7,neuron,ENSG00000187323,32.639297,7.1989183,1.1368078737900076e-233,4.864888095321924e-230,19.902708,0.20570944,0.79456705,0.03915792,6.596213,0.8889659,589,0.003758151168280949
8,neuron,ENSG00000276644,32.16746,4.0432596,5.034425853921988e-227,1.8851407610010882e-223,13.721356,1.2410761,0.87606114,0.2888361,3.4667597,0.883343,589,0.003758151168280949
9,neuron,ENSG00000166165,31.887032,4.2359443,4.0393476947375995e-223,1.3444744393728838e-219,13.826372,1.0418935,0.860781,0.24011604,3.730143,0.88000107,589,0.003758151168280949
10,neuron,ENSG00000131711,31.2707,3.2223704,1.1681049986924252e-214,3.499175334083029e-211,18.528025,2.376356,0.87096775,0.5693654,2.9628863,0.8726561,589,0.003758151168280949
