rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,neuronal-restricted precursor,ENSG00000147862,54.65368,3.3328986,0.0,0.0,18.126995,2.9255815,0.98553056,0.5812441,2.6313446,0.94910765,1244,0.00793741944540153
2,neuronal-restricted precursor,ENSG00000276644,54.31617,4.557582,0.0,0.0,14.931603,1.1788231,0.96302253,0.2856665,3.66295,0.94633424,1244,0.00793741944540153
3,neuronal-restricted precursor,ENSG00000169862,53.06485,5.343742,0.0,0.0,8.426675,0.36042657,0.909164,0.12001389,4.5471864,0.93605167,1244,0.00793741944540153
4,neuronal-restricted precursor,ENSG00000007372,50.695034,6.8230534,0.0,0.0,5.121191,0.07774843,0.846463,0.03082672,6.041522,0.9165781,1244,0.00793741944540153
5,neuronal-restricted precursor,ENSG00000158164,48.11725,4.1487503,0.0,0.0,7.428109,0.6185203,0.87138265,0.21860409,3.586102,0.89539564,1244,0.00793741944540153
6,neuronal-restricted precursor,ENSG00000167552,48.072876,2.5837286,0.0,0.0,38.80836,9.76409,0.9807074,0.8123513,1.99081,0.89503103,1244,0.00793741944540153
7,neuronal-restricted precursor,ENSG00000245526,48.00798,5.674576,0.0,0.0,6.6901865,0.21577294,0.82073957,0.06757052,4.9544606,0.8944977,1244,0.00793741944540153
8,neuronal-restricted precursor,ENSG00000166833,47.069157,4.105605,0.0,0.0,8.571717,0.6967183,0.86012864,0.2386064,3.6209369,0.88678306,1244,0.00793741944540153
9,neuronal-restricted precursor,ENSG00000137285,46.900574,3.3492336,0.0,0.0,11.397771,1.9330354,0.91398716,0.40249032,2.5598118,0.8853978,1244,0.00793741944540153
10,neuronal-restricted precursor,ENSG00000166582,46.639965,4.354783,0.0,0.0,4.722294,0.32781133,0.8319936,0.15052547,3.84855,0.88325626,1244,0.00793741944540153
