rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,oligodendrocyte precursor cell,ENSG00000137285,10.081248,4.476047,6.687116023204836e-24,1.0841419248525407e-19,24.204046,2.0028076,1.0,0.40640637,3.5951526,0.9721569,38,0.0002424613656955451
2,oligodendrocyte precursor cell,ENSG00000139910,10.073464,4.529868,7.238228901405667e-24,1.0841419248525407e-19,15.061429,0.9230919,0.9736842,0.3805397,4.0282407,0.9717919,38,0.0002424613656955451
3,oligodendrocyte precursor cell,ENSG00000078018,9.818168,5.342566,9.403741896944701e-23,7.539990181005439e-19,14.262719,0.5734945,0.94736844,0.21640457,4.6363254,0.95983505,38,0.0002424613656955451
4,oligodendrocyte precursor cell,ENSG00000185565,9.811282,4.6845746,1.0068086768601201e-22,7.539990181005439e-19,27.874182,1.8750786,0.9736842,0.36404192,3.8939066,0.95951265,38,0.0002424613656955451
5,oligodendrocyte precursor cell,ENSG00000167552,9.755413,3.473683,1.7488801489544825e-22,1.0477890748416096e-18,73.78407,9.979051,1.0,0.8136424,2.886335,0.9568958,38,0.0002424613656955451
6,oligodendrocyte precursor cell,ENSG00000187323,9.350488,7.2361603,8.724422092855026e-21,4.355813136892753e-17,18.017742,0.27543172,0.8947368,0.041790053,6.0315795,0.93793124,38,0.0002424613656955451
7,oligodendrocyte precursor cell,ENSG00000166582,9.228953,4.5464582,2.732888871986579e-20,1.1695202721318567e-16,4.9479113,0.36158013,0.92105263,0.15574901,3.7744322,0.9322391,38,0.0002424613656955451
8,oligodendrocyte precursor cell,ENSG00000175130,9.1867695,2.661897,4.0481534525977636e-20,1.5158310603252325e-16,18.438578,4.4404693,0.9736842,0.6794266,2.0539434,0.93026394,38,0.0002424613656955451
9,oligodendrocyte precursor cell,ENSG00000150625,9.03257,4.550313,1.6768599669629533e-19,5.581335241149137e-16,9.741017,0.75453556,0.92105263,0.19251634,3.6904116,0.9230415,38,0.0002424613656955451
10,oligodendrocyte precursor cell,ENSG00000066032,9.003818,6.1742167,2.180016820562995e-19,6.530458387678508e-16,7.596827,0.19741203,0.8684211,0.055620085,5.266115,0.9216949,38,0.0002424613656955451
