rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,pericyte,ENSG00000134871,98.55751,3.7439215,0.0,0.0,25.415438,3.8527725,0.99190485,0.53809243,2.7217362,0.95833635,3953,0.025222362594591836
2,pericyte,ENSG00000187498,98.483154,4.0378737,0.0,0.0,27.783026,3.5365512,0.98962814,0.49466202,2.9737885,0.9579906,3953,0.025222362594591836
3,pericyte,ENSG00000185532,97.99318,4.773677,0.0,0.0,23.508007,1.8250847,0.9774855,0.31918597,3.6871169,0.95571196,3953,0.025222362594591836
4,pericyte,ENSG00000151468,97.208084,5.775647,0.0,0.0,9.683254,0.31732878,0.93043256,0.11889535,4.931442,0.95206094,3953,0.025222362594591836
5,pericyte,ENSG00000185633,96.56626,6.5707026,0.0,0.0,13.39002,0.2753706,0.917784,0.08140837,5.6036396,0.9490761,3953,0.025222362594591836
6,pericyte,ENSG00000164741,96.42577,3.895618,0.0,0.0,19.751204,2.2108636,0.9787503,0.48755997,3.1592586,0.94842285,3953,0.025222362594591836
7,pericyte,ENSG00000122786,94.25355,3.138544,0.0,0.0,20.993027,4.2331877,0.9848217,0.62124854,2.3100939,0.938321,3953,0.025222362594591836
8,pericyte,ENSG00000128641,93.76589,4.253349,0.0,0.0,8.79617,0.7053858,0.9339742,0.27248925,3.640391,0.9360532,3953,0.025222362594591836
9,pericyte,ENSG00000188290,93.64057,4.054647,0.0,0.0,13.982941,1.5132183,0.95800656,0.36493358,3.2079759,0.93547034,3953,0.025222362594591836
10,pericyte,ENSG00000113721,92.72038,3.93649,0.0,0.0,8.080789,0.75683093,0.9390336,0.3162797,3.4164531,0.9311911,3953,0.025222362594591836
