rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,perivascular cell,ENSG00000164741,64.06013,3.5768383,0.0,0.0,17.527603,2.4686198,0.97294486,0.49407637,2.8278522,0.92442536,1922,0.012263440654390464
2,perivascular cell,ENSG00000134871,62.633007,3.309841,0.0,0.0,21.326681,4.1864367,0.9828304,0.54415905,2.3488648,0.9149701,1922,0.012263440654390464
3,perivascular cell,ENSG00000182492,61.942608,3.4657283,0.0,0.0,11.224818,1.687641,0.94120705,0.41818687,2.733612,0.9103959,1922,0.012263440654390464
4,perivascular cell,ENSG00000187498,61.744957,3.4838855,0.0,0.0,21.900257,3.9277031,0.9640999,0.50147283,2.47919,0.90908635,1922,0.012263440654390464
5,perivascular cell,ENSG00000185532,57.23004,3.632772,0.0,0.0,13.921439,2.2285771,0.92403746,0.32848635,2.6431136,0.8791732,1922,0.012263440654390464
6,perivascular cell,ENSG00000151491,55.772976,3.008076,0.0,0.0,7.629618,1.3092638,0.89282,0.43009225,2.542855,0.8695195,1922,0.012263440654390464
7,perivascular cell,ENSG00000122786,55.604637,2.5436246,0.0,0.0,15.824366,4.5172453,0.95369405,0.626405,1.8086325,0.8684041,1922,0.012263440654390464
8,perivascular cell,ENSG00000188290,54.84163,3.2427511,0.0,0.0,10.164366,1.7242378,0.9032258,0.37339476,2.5594895,0.86334896,1922,0.012263440654390464
9,perivascular cell,ENSG00000151468,54.458996,4.262728,0.0,0.0,5.324417,0.4943272,0.80124867,0.13114648,3.4290855,0.8608138,1922,0.012263440654390464
10,perivascular cell,ENSG00000164330,53.30929,2.8370645,0.0,0.0,8.7138,1.9523449,0.9110302,0.41942716,2.1580942,0.85319656,1922,0.012263440654390464
