rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,perivascular macrophage,ENSG00000173372,6.7417893,7.1605096,1.564477667403142e-11,7.92754600663974e-08,24.142063,0.7770781,1.0,0.065343626,4.9573455,0.9865731,16,0.00010208899608233478
2,perivascular macrophage,ENSG00000173369,6.700419,6.5831656,2.078227336797712e-11,7.92754600663974e-08,12.322288,0.47495586,1.0,0.056646034,4.697333,0.9835873,16,0.00010208899608233478
3,perivascular macrophage,ENSG00000174600,6.6998,5.493992,2.0870481835469807e-11,7.92754600663974e-08,1.5675591,0.05714077,1.0,0.037668303,4.7778554,0.9835426,16,0.00010208899608233478
4,perivascular macrophage,ENSG00000163565,6.6655364,5.0217648,2.637008107705285e-11,7.92754600663974e-08,7.07811,0.4469791,1.0,0.14603408,3.985085,0.9810699,16,0.00010208899608233478
5,perivascular macrophage,ENSG00000159189,6.632593,6.5788245,3.2984042258093895e-11,7.92754600663974e-08,14.287154,0.6860768,1.0,0.05909642,4.3802047,0.9786921,16,0.00010208899608233478
6,perivascular macrophage,ENSG00000173193,6.628476,5.277284,3.391699809798373e-11,7.92754600663974e-08,6.224501,0.18762162,1.0,0.13869569,5.05206,0.978395,16,0.00010208899608233478
7,perivascular macrophage,ENSG00000155659,6.6240444,6.007462,3.495020130117524e-11,7.92754600663974e-08,7.0582714,0.29434484,1.0,0.050717887,4.5837355,0.97807515,16,0.00010208899608233478
8,perivascular macrophage,ENSG00000166710,6.6237125,3.6888304,3.502872489567202e-11,7.92754600663974e-08,38.58732,5.5263596,1.0,0.73187417,2.8037255,0.97805125,16,0.00010208899608233478
9,perivascular macrophage,ENSG00000104870,6.607491,4.305495,3.9088752135276214e-11,7.92754600663974e-08,22.034279,2.3814187,1.0,0.49485037,3.2098565,0.9768805,16,0.00010208899608233478
10,perivascular macrophage,ENSG00000010327,6.603004,5.773658,4.029085256839622e-11,7.92754600663974e-08,8.168707,0.4383304,1.0,0.083696,4.220017,0.9765566,16,0.00010208899608233478
