rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,pinealocyte,ENSG00000164199,44.883392,5.1682444,0.0,0.0,10.119689,0.56115633,0.9576784,0.13374685,4.1726184,0.9517442,827,0.005276724985005679
2,pinealocyte,ENSG00000170558,44.299583,4.296718,0.0,0.0,8.588846,0.8685814,0.974607,0.22107261,3.3057313,0.94586825,827,0.005276724985005679
3,pinealocyte,ENSG00000083067,43.711937,5.2351146,0.0,0.0,42.142193,4.3167243,0.99032646,0.26600555,3.2872565,0.9399536,827,0.005276724985005679
4,pinealocyte,ENSG00000165588,42.031765,4.597602,0.0,0.0,4.3554187,0.3224624,0.9153567,0.1006485,3.7556086,0.92304295,827,0.005276724985005679
5,pinealocyte,ENSG00000243620,41.959854,3.7264767,0.0,0.0,42.18065,5.007143,0.99274486,0.571556,3.0745218,0.9223192,827,0.005276724985005679
6,pinealocyte,ENSG00000248550,41.68006,5.040914,0.0,0.0,6.2431774,0.3527094,0.8972189,0.08308584,4.1457286,0.91950315,827,0.005276724985005679
7,pinealocyte,ENSG00000146242,41.600887,3.7504437,0.0,0.0,9.920647,1.2236477,0.95042324,0.36357513,3.0192459,0.91870624,827,0.005276724985005679
8,pinealocyte,ENSG00000145934,41.586647,4.4534397,0.0,0.0,11.294984,0.916646,0.92503023,0.21721114,3.6231737,0.91856295,827,0.005276724985005679
9,pinealocyte,ENSG00000162599,41.29909,3.025311,0.0,0.0,22.327534,4.288695,0.9975816,0.6481953,2.3802133,0.9156687,827,0.005276724985005679
10,pinealocyte,ENSG00000150471,40.576397,3.0935092,0.0,0.0,12.863838,2.3599992,0.9830713,0.51004815,2.4464629,0.90839493,827,0.005276724985005679
