rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,platelet,ENSG00000251562,10.831265,3.4661164,2.44748009568241e-27,7.331671374626227e-23,1701.4381,221.21126,1.0,0.963614,2.943258,0.9661718,45,0.00028712530148156654
2,platelet,ENSG00000180573,10.471695,5.4530287,1.1653756478349969e-25,1.35113809797926e-21,31.177464,0.93635815,0.93333334,0.35620785,5.057299,0.95069605,45,0.00028712530148156654
3,platelet,ENSG00000185305,10.457548,5.467876,1.3531226779068566e-25,1.35113809797926e-21,27.683907,0.89802814,0.93333334,0.3053976,4.946143,0.95008725,45,0.00028712530148156654
4,platelet,ENSG00000166710,9.627293,3.8400998,6.132407284276675e-22,4.5925598151948014e-18,63.49763,5.513091,0.93333334,0.7318437,3.5257695,0.9143537,45,0.00028712530148156654
5,platelet,ENSG00000187837,9.566074,5.103636,1.1104225101418969e-21,6.652763342762133e-18,30.01421,1.0090579,0.8888889,0.3153286,4.8945646,0.9117187,45,0.00028712530148156654
6,platelet,ENSG00000132475,9.441992,2.1991246,3.657588253418833e-21,1.6266759307997888e-17,68.66631,18.11898,0.9777778,0.8927949,1.9221007,0.90637857,45,0.00028712530148156654
7,platelet,ENSG00000179399,9.423953,7.6526117,4.344173937240724e-21,1.6266759307997888e-17,18.631523,0.12236217,0.82222223,0.042021688,7.2504444,0.9056019,45,0.00028712530148156654
8,platelet,ENSG00000111640,-9.435057,-3.9456766,3.9078224252278505e-21,1.6266759307997888e-17,1.6203387,18.319914,0.35555556,0.8964776,-3.4990454,0.0939202,45,0.00028712530148156654
9,platelet,ENSG00000092841,-9.405131,-2.7489114,5.196513737633976e-21,1.7296307280507044e-17,2.510018,12.911858,0.5777778,0.94649637,-2.362927,0.095208384,45,0.00028712530148156654
10,platelet,ENSG00000234745,9.386146,5.4881444,6.2236313037059786e-21,1.864350993338163e-17,8.398838,0.26261243,0.84444445,0.1068732,4.9991827,0.90397465,45,0.00028712530148156654
