rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,promyelocyte,ENSG00000005381,16.78889,14.514194,2.942955667023332e-63,8.815917996135093e-59,92.204216,0.012371644,0.97959185,0.0032752764,12.86358,0.9897287,98,0.0006252951010043005
2,promyelocyte,ENSG00000090382,16.581291,11.619309,9.51614941995333e-62,1.4253288601206097e-57,177.74226,0.21807507,0.96938777,0.027817504,9.670746,0.98367304,98,0.0006252951010043005
3,promyelocyte,ENSG00000122862,16.542015,7.710763,1.82805292680296e-61,1.825371782510316e-57,62.271267,0.82584,0.97959185,0.09765814,6.2365603,0.9825274,98,0.0006252951010043005
4,promyelocyte,ENSG00000172232,16.074284,11.016582,3.8642978327315225e-58,2.893972646932637e-54,34.138767,0.015228173,0.93877554,0.011670966,11.130452,0.96888375,98,0.0006252951010043005
5,promyelocyte,ENSG00000149516,15.385564,12.461365,2.0458669538918113e-53,1.225719809415662e-49,6.964486,0.003460402,0.8979592,0.0006193018,10.974861,0.94879395,98,0.0006252951010043005
6,promyelocyte,ENSG00000111348,15.328008,5.321185,4.970001545116407e-53,2.4813561047584516e-49,6.739545,0.32903525,0.9285714,0.108805574,4.356337,0.94711506,98,0.0006252951010043005
7,promyelocyte,ENSG00000104918,15.160127,7.66829,6.494409110465633e-52,2.779235990187264e-48,21.965326,0.19764253,0.8979592,0.038645707,6.7961907,0.942218,98,0.0006252951010043005
8,promyelocyte,ENSG00000075884,15.134821,6.225309,9.544040825969127e-52,3.534173359080059e-48,7.1248636,0.13206027,0.90816325,0.049812295,5.753594,0.9414798,98,0.0006252951010043005
9,promyelocyte,ENSG00000148655,15.127804,4.7662525,1.0618093280718564e-51,3.534173359080059e-48,10.238932,0.72690415,0.9591837,0.17211482,3.8161561,0.9412751,98,0.0006252951010043005
10,promyelocyte,ENSG00000136167,14.925281,5.889203,2.2568286103464833e-50,6.760555785153926e-47,4.802144,0.15471025,0.8979592,0.048586458,4.956038,0.9353676,98,0.0006252951010043005
