rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,radial glial cell,ENSG00000145147,47.535255,4.3927608,0.0,0.0,18.033644,1.5881528,0.94721687,0.30265152,3.5052693,0.92652184,1042,0.006648545869862053
2,radial glial cell,ENSG00000146242,45.314545,3.6361895,0.0,0.0,9.064517,1.2173781,0.92706335,0.36292106,2.896453,0.906596,1042,0.006648545869862053
3,radial glial cell,ENSG00000178568,44.35371,4.715587,0.0,0.0,13.352056,1.2561346,0.88675624,0.14096503,3.409999,0.8979746,1042,0.006648545869862053
4,radial glial cell,ENSG00000067225,44.216022,2.7997518,0.0,0.0,10.8161335,2.1280353,0.9539347,0.56652576,2.3455908,0.89673924,1042,0.006648545869862053
5,radial glial cell,ENSG00000176771,42.34854,4.8812947,0.0,0.0,10.055587,0.46737254,0.82149714,0.148962,4.4272804,0.87998277,1042,0.006648545869862053
6,radial glial cell,ENSG00000145934,42.200638,3.977484,0.0,0.0,8.177329,0.92318064,0.86372364,0.21664397,3.1469448,0.8786556,1042,0.006648545869862053
7,radial glial cell,ENSG00000170558,41.64482,3.612782,0.0,0.0,6.1495337,0.87424976,0.8733205,0.2207099,2.8143597,0.87366843,1042,0.006648545869862053
8,radial glial cell,ENSG00000162599,41.25656,2.5475016,0.0,0.0,16.643818,4.301864,0.9798465,0.6478315,1.9519526,0.8701848,1042,0.006648545869862053
9,radial glial cell,ENSG00000169862,41.131363,4.453661,0.0,0.0,5.527504,0.3902976,0.80614203,0.12172735,3.8239818,0.86906135,1042,0.006648545869862053
10,radial glial cell,ENSG00000276644,40.265594,3.3725698,0.0,0.0,7.5329213,1.2461746,0.8752399,0.28713292,2.5957034,0.861293,1042,0.006648545869862053
