rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,reticulocyte,ENSG00000284931,206.04678,8.389612,0.0,0.0,3998.1963,200.9787,1.0,0.9042246,4.3142347,0.9926944,16262,0.10376070339318301
2,reticulocyte,ENSG00000188536,205.55325,7.462358,0.0,0.0,2658.4294,170.15115,0.9999385,0.95314103,3.9656854,0.9915143,16262,0.10376070339318301
3,reticulocyte,ENSG00000244734,202.40572,8.816451,0.0,0.0,497.1984,7.60655,0.98751694,0.44560173,6.0304356,0.9839879,16262,0.10376070339318301
4,reticulocyte,ENSG00000206172,199.54422,7.407036,0.0,0.0,1491.9674,133.68437,0.9998155,0.892314,3.4803133,0.9771456,16262,0.10376070339318301
5,reticulocyte,ENSG00000145335,183.08963,4.061152,0.0,0.0,20.055328,1.6911802,0.9423195,0.5043214,3.5678833,0.9377998,16262,0.10376070339318301
6,reticulocyte,ENSG00000147454,169.1744,4.054843,0.0,0.0,25.067942,5.1783423,0.98302794,0.4940483,2.2752812,0.904526,16262,0.10376070339318301
7,reticulocyte,ENSG00000158578,160.11609,4.916323,0.0,0.0,15.477991,1.1533164,0.8410405,0.13928837,3.746358,0.88286597,16262,0.10376070339318301
8,reticulocyte,ENSG00000169877,132.6184,3.84589,0.0,0.0,16.426867,3.8550906,0.79061615,0.18788444,2.0912206,0.8171141,16262,0.10376070339318301
9,reticulocyte,ENSG00000213934,131.55547,4.1753635,0.0,0.0,4.7899256,0.43914902,0.69997543,0.09425902,3.4472208,0.81457245,16262,0.10376070339318301
10,reticulocyte,ENSG00000206177,126.443504,3.7713711,0.0,0.0,20.368727,4.3084702,0.7566105,0.19757375,2.2411082,0.80234885,16262,0.10376070339318301
