rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,retinal cell,ENSG00000108018,8.941122,7.481024,3.8523982166215695e-19,8.426994358829785e-15,9.07825,0.092906415,1.0,0.042565685,6.610492,0.99677336,27,0.00017227518088893992
2,retinal cell,ENSG00000188517,8.899177,6.985577,5.626248069722116e-19,8.426994358829785e-15,12.066739,0.16364317,1.0,0.07973248,6.2043386,0.9944429,27,0.00017227518088893992
3,retinal cell,ENSG00000134438,8.651473,9.452714,5.083877721837347e-18,5.076421367845319e-14,5.930486,0.014286242,0.962963,0.009157685,8.69738,0.98068035,27,0.00017227518088893992
4,retinal cell,ENSG00000138083,8.502328,6.53204,1.8582576235557713e-17,1.391649134280917e-13,4.441936,0.09504458,0.962963,0.03402064,5.54644,0.97239375,27,0.00017227518088893992
5,retinal cell,ENSG00000149972,8.41978,5.286806,3.771914859843087e-17,2.2598296308291904e-13,10.862876,0.5067549,1.0,0.12424457,4.421974,0.96780735,27,0.00017227518088893992
6,retinal cell,ENSG00000184302,8.318325,10.098387,8.921507215087078e-17,4.454211168919142e-13,3.8594,0.0060645654,0.9259259,0.0024505581,9.313756,0.9621705,27,0.00017227518088893992
7,retinal cell,ENSG00000153944,8.289632,3.1562154,1.1359995875702589e-16,4.861429092179239e-13,12.433861,2.2108672,1.0,0.57838273,2.49159,0.96057624,27,0.00017227518088893992
8,retinal cell,ENSG00000205213,8.140411,4.3730626,3.939360534367036e-16,1.4750935520937367e-12,6.19152,0.4294713,0.962963,0.2207672,3.84966,0.9522857,27,0.00017227518088893992
9,retinal cell,ENSG00000181449,8.085607,4.9058294,6.185553289439228e-16,2.0588270482049057e-12,5.805778,0.39240694,0.962963,0.10873075,3.8870668,0.9492406,27,0.00017227518088893992
10,retinal cell,ENSG00000135298,7.9338813,4.5387397,2.12401134297235e-15,6.362688379007972e-12,6.474868,0.5614572,0.962963,0.14732066,3.5276027,0.94081056,27,0.00017227518088893992
