rank,group,gene,scores,logfoldchanges,pval,qval,mean_in_norm,mean_out_norm,pct_in,pct_out,log2fc,auc_norm_expr,cells_in_label,label_frequency
1,retinal ganglion cell,ENSG00000148948,15.210908,5.728473,2.9936058365207642e-52,8.9676456438816e-48,13.454334,0.49671373,1.0,0.18094301,4.7595124,0.99105686,80,0.0005104449804116739
2,retinal ganglion cell,ENSG00000181449,14.53643,5.1981735,7.120993165532749e-48,1.0665823563334951e-43,6.3006673,0.3903238,0.9875,0.10842919,4.012761,0.9692824,80,0.0005104449804116739
3,retinal ganglion cell,ENSG00000081138,14.226239,6.1851716,6.297880816576935e-46,6.288643924712623e-42,4.7548885,0.09484509,0.9375,0.057537377,5.6476946,0.95926857,80,0.0005104449804116739
4,retinal ganglion cell,ENSG00000106689,14.186683,7.284232,1.1077604295799226e-45,6.904332154979584e-42,3.242825,0.036663827,0.925,0.018736513,6.46675,0.9579916,80,0.0005104449804116739
5,retinal ganglion cell,ENSG00000138771,14.18391,4.4217286,1.152412230434568e-45,6.904332154979584e-42,5.5887275,0.40098143,0.975,0.19316165,3.8009126,0.9579021,80,0.0005104449804116739
6,retinal ganglion cell,ENSG00000134532,13.849501,4.1167855,1.2810002928759746e-43,6.395607462232116e-40,8.554726,1.0370523,0.9875,0.249684,3.044233,0.94710624,80,0.0005104449804116739
7,retinal ganglion cell,ENSG00000182985,13.76081,4.1201444,4.385880258254723e-43,1.8769061288039784e-39,6.2055144,0.75803536,0.975,0.22326775,3.0332139,0.94424313,80,0.0005104449804116739
8,retinal ganglion cell,ENSG00000175183,13.706536,3.296654,9.278264845327354e-43,3.4742462713328274e-39,8.976403,1.6701593,0.9875,0.4578604,2.4261518,0.9424909,80,0.0005104449804116739
9,retinal ganglion cell,ENSG00000116194,13.606074,3.8061714,3.685117800756901e-42,1.2265709871052638e-38,4.705725,0.5197587,0.9625,0.2542995,3.1785033,0.93924767,80,0.0005104449804116739
10,retinal ganglion cell,ENSG00000184613,13.5078125,3.9139876,1.406375895620088e-41,4.212939632919535e-38,6.061651,0.73617226,0.975,0.22721933,3.0415955,0.9360753,80,0.0005104449804116739
